journal|year|author|repec
American Economic Review|2000|Guillermo A. Calvo|pca694
American Economic Review|2000|Carmen M. Reinhart|pre33
American Economic Review|2000|Andres Velasco|none
American Economic Review|2000|Roberto Chang|pch80
American Economic Review|2000|David Colander|pco85
American Economic Review|2000|Peter E. Kennedy|pke194
American Economic Review|2000|Michael Parkin|ppa795
American Economic Review|2000|John B. Taylor|pta174
American Economic Review|2000|Lars E. O. Svensson|psv2
American Economic Review|2000|Michael Woodford|pwo3
American Economic Review|2000|Frederic S. Mishkin|pmi37
American Economic Review|2000|Christopher D. Carroll|pca45
American Economic Review|2000|Erik Hurst|phu87
American Economic Review|2000|Christopher Foote|pfo133
American Economic Review|2000|John Leahy|ple189
American Economic Review|2000|N. Gregory Mankiw|pma131
American Economic Review|2000|James A. Robinson|pro179
American Economic Review|2000|Daron Acemoglu|pac16
American Economic Review|2000|Robert H. Bates|pba472
American Economic Review|2000|Dilip Mookherjee|pmo51
American Economic Review|2000|Pranab K. Bardhan|pba284
American Economic Review|2000|Dani Rodrik|pro60
American Economic Review|2000|Susan Chun Zhu|pzh95
American Economic Review|2000|Daniel Trefler|ptr44
American Economic Review|2000|David E. Weinstein|pwe34
American Economic Review|2000|Donald R. Davis|pda33
American Economic Review|2000|Gordon H. Hanson|pha80
American Economic Review|2000|Robert C. Feenstra|pfe116
American Economic Review|2000|Kevin J. Stiroh|pst41
American Economic Review|2000|Dale W. Jorgenson|pjo23
American Economic Review|2000|Frank C. Lee|ple242
American Economic Review|2000|Wulong Gu|pgu240
American Economic Review|2000|Jianmin Tang|pta649
American Economic Review|2000|Mun S. Ho|pho122
American Economic Review|2000|Wulong Gu|pgu240
American Economic Review|2000|Jianmin Tang|pta649
American Economic Review|2000|Frank C. Lee|ple242
American Economic Review|2000|Franklin M. Fisher|none
American Economic Review|2000|Kevin M. Murphy|pmu108
American Economic Review|2000|Steven J. Davis|pda15
American Economic Review|2000|Robert E. Hall|pha128
American Economic Review|2000|Chris E. Hall|pha128
American Economic Review|2000|Richard Schmalensee|psc313
American Economic Review|2000|Catherine Wolfram|none
American Economic Review|2000|Nancy L. Rose|pro786
American Economic Review|2000|Sendhil Mullainathan|pmu103
American Economic Review|2000|Marianne Bertrand|pbe697
American Economic Review|2000|Kevin J. Murphy|pmu108
American Economic Review|2000|Kevin J. Murphy|pmu108
American Economic Review|2000|Brian J. Hall|none
American Economic Review|2000|Manuel Trajtenberg|ptr35
American Economic Review|2000|Adam B. Jaffe|pja49
American Economic Review|2000|Michael S. Fogarty|none
American Economic Review|2000|Morris M. Kleiner|none
American Economic Review|2000|Richard B. Freeman|pfr23
American Economic Review|2000|Joseph Farrell|pfa35
American Economic Review|2000|Severin Borenstein|pbo78
American Economic Review|2000|Susan Helper|none
American Economic Review|2000|Margaret Walls|pwa428
American Economic Review|2000|Paul Calcott|none
American Economic Review|2000|Ann Wolverton|pwo159
American Economic Review|2000|Don Fullerton|pfu10
American Economic Review|2000|Molly Macauley|pma1214
American Economic Review|2000|Eduardo Ley|ple23
American Economic Review|2000|Stephen W. Salant|psa604
American Economic Review|2000|Michael J. Boskin|none
American Economic Review|2000|Brent R. Moulton|pmo70
American Economic Review|2000|William D. Nordhaus|pno115
American Economic Review|2000|James M. Poterba|ppo19
American Economic Review|2000|Daniel R. Feenberg|pfe56
American Economic Review|2000|Austan Goolsbee|pgo49
American Economic Review|2000|Jonathan M. Siegel|psi665
American Economic Review|2000|Alan J. Auerbach|pau33
American Economic Review|2000|R. Glenn Hubbard|phu97
American Economic Review|2000|William M. Gentry|pge25
American Economic Review|2000|B. Douglas Bernheim|pbe81
American Economic Review|2000|Jagadeesh Gokhale|none
American Economic Review|2000|Steven F. Venti|pve136
American Economic Review|2000|James M. Poterba|ppo19
American Economic Review|2000|David A. Wise|pwi45
American Economic Review|2000|Louise Sheiner|none
American Economic Review|2000|David M. Cutler|pcu64
American Economic Review|2000|Jessica Gordon Nembhard|none
American Economic Review|2000|William Darity|pda222
American Economic Review|2000|Patrick L. Mason|pma376
American Economic Review|2000|George Sherer|none
American Economic Review|2000|Ashwini Deshpande|pde323
American Economic Review|2000|Michael Greenstone|pgr38
American Economic Review|2000|Kenneth Y. Chay|pch800
American Economic Review|2000|Amitabh Chandra|pch893
American Economic Review|2000|Yuichi Kitamura|none
American Economic Review|2000|William Johnson|pjo99
American Economic Review|2000|Derek Neal|pne138
American Economic Review|2000|Thomas M. Lyons|none
American Economic Review|2000|James J. Heckman|phe22
American Economic Review|2000|Petra E. Todd|pto286
American Economic Review|2000|Timothy Miller|none
American Economic Review|2000|Ronald Lee|ple147
American Economic Review|2000|George J. Borjas|pbo44
American Economic Review|2000|John DiNardo|pdi178
American Economic Review|2000|David Card|pca271
American Economic Review|2000|Wei-Yin Hu|none
American Economic Review|2000|Robert A. Moffitt|pmo48
American Economic Review|2000|Robert J. Willis|pwi192
American Economic Review|2000|Nezih Guner|pgu40
American Economic Review|2000|Jeremy Greenwood|pgr12
American Economic Review|2000|John A. Knowles|pkn1
American Economic Review|2000|Dennis Tao Yang|pya100
American Economic Review|2000|Marjorie McElroy|none
American Economic Review|2000|Esther Duflo|pdu166
American Economic Review|2000|Robert Jensen|none
American Economic Review|2000|Jonathan Morduch|pmo75
American Economic Review|2000|George Baker|none
American Economic Review|2000|Canice Prendergast|none
American Economic Review|2000|George Loewenstein|plo51
American Economic Review|2000|David I. Laibson|pla164
American Economic Review|2000|Xavier Gabaix|pga174
American Economic Review|2000|Paul M. Romer|pro45
American Economic Review|2000|Finis Welch|none
American Economic Review|2000|Chinhui Juhn|pju42
American Economic Review|2000|Sandra E. Black|pbl92
American Economic Review|2000|Thomas Lemieux|ple92
American Economic Review|2000|Nicole M. Fortin|pfo101
American Economic Review|2000|Lawrence F. Katz|pka266
American Economic Review|2000|Claudia Goldin|pgo601
American Economic Review|2000|Ann L. Owen|pow7
American Economic Review|2000|Elizabeth J. Jensen|pje140
American Economic Review|2000|Lois Joy|none
American Economic Review|2000|Michele A. Pujol|none
American Economic Review|2000|Janet A. Seiz|pko699
American Economic Review|2000|Robert W. Dimand|pdi197
American Economic Review|2000|Andrei Shleifer|psh93
American Economic Review|2000|John J. Siegfried|psi31
American Economic Review|2000|John J. Siegfried|psi31
American Economic Review|2000|John J. Siegfried|psi31
American Economic Review|2000|C. Elton Hinshaw|none
American Economic Review|2000|C. Elton Hinshaw|none
American Economic Review|2000|Orley Ashenfelter|none
American Economic Review|2000|John McMillan|pmc60
American Economic Review|2000|Alan B. Krueger|pkr63
American Economic Review|2000|C. Elton Hinshaw|none
American Economic Review|2000|Michael K. Salemi|none
American Economic Review|2000|William Darity Jr.|pda222
American Economic Review|2000|Robin L. Bartlett|none
American Economic Review|2000|Thomas Schelling|psc152
American Economic Review|2000|Charles E. Scott|none
American Economic Review|2000|Robert A. Mundell|pmu18
American Economic Review|2000|Jody Overland|pov8
American Economic Review|2000|Christopher D. Carroll|pca45
American Economic Review|2000|David N. Weil|pwe24
American Economic Review|2000|Harald Uhlig|puh1
American Economic Review|2000|Lars Ljungqvist|plj7
American Economic Review|2000|Jeffrey C. Fuhrer|pfu8
American Economic Review|2000|Karen E. Dynan|none
American Economic Review|2000|Jeremy C. Stein|pst43
American Economic Review|2000|Anil K. Kashyap|pka35
American Economic Review|2000|David H. Romer|pro407
American Economic Review|2000|David H. Romer|pro407
American Economic Review|2000|Christina D. Romer|pro406
American Economic Review|2000|Christina D. Romer|pro406
American Economic Review|2000|James A. Kahn|pka18
American Economic Review|2000|Mark Bils|pbi148
American Economic Review|2000|Garey Ramey|pra338
American Economic Review|2000|Wouter J. den Haan|pde12
American Economic Review|2000|Joel Watson|pwa36
American Economic Review|2000|Jeroen M. Swinkels|psw7
American Economic Review|2000|Wolfgang Pesendorfer|ppe7
American Economic Review|2000|Robert T. Deacon|pde469
American Economic Review|2000|Henning Bohn|pbo25
American Economic Review|2000|Michel Benaim|none
American Economic Review|2000|Emmanuelle Auriol|pau5
American Economic Review|2000|Emmanuelle Auriol|pau5
American Economic Review|2000|Peter Kooreman|pko248
American Economic Review|2000|H. Naci Mocan|pmo270
American Economic Review|2000|Hope Corman|none
American Economic Review|2000|Joseph E. Harrington|pha354
American Economic Review|2000|S. Brock Blomberg|pbl94
American Economic Review|2000|Brian D. Wright|pwr23
American Economic Review|2000|Kenneth M. Kletzer|pkl39
American Economic Review|2000|Jaewoo Lee|ple103
American Economic Review|2000|Michelle R. Garfinkel|pga36
American Economic Review|2000|Kwanho Shin|psh131
American Economic Review|2000|Jaewoo Lee|ple103
American Economic Review|2000|Michel Strawczynski|pst480
American Economic Review|2000|Momi Dahan|pda178
American Economic Review|2000|Petr Duczynski|none
American Economic Review|2000|Marco Ottaviani|pot1
American Economic Review|2000|Jeremy C. Stein|pst43
American Economic Review|2000|David S. Scharfstein|psc177
American Economic Review|2000|Cecilia Rouse|none
American Economic Review|2000|Claudia Goldin|pgo601
American Economic Review|2000|Raymond Robertson|pde179
American Economic Review|2000|Raymond Robertson|pde179
American Economic Review|2000|Susan Athey|pat6
American Economic Review|2000|Peter Zemsky|none
American Economic Review|2000|Pok-sang Lam|none
American Economic Review|2000|Stephen G. Cecchetti|pce4
American Economic Review|2000|Nelson C. Mark|pma186
American Economic Review|2000|David N. Weil|pwe24
American Economic Review|2000|Oded Galor|pga46
American Economic Review|2000|Peter Howitt|pho22
American Economic Review|2000|David Dollar|pdo54
American Economic Review|2000|Craig Burnside|pbu20
American Economic Review|2000|Kristin J. Forbes|pfo1
American Economic Review|2000|Jose V. Rodriguez Mora|pro344
American Economic Review|2000|John Hassler|pha2
American Economic Review|2000|Jaume Ventura|pve110
American Economic Review|2000|Francesco Caselli|pca205
American Economic Review|2000|Jeffrey S. Rosenthal|none
American Economic Review|2000|Martin J. Osborne|pos1
American Economic Review|2000|Matthew A. Turner|ptu3
American Economic Review|2000|David E. M. Sappington|psa323
American Economic Review|2000|Tracy R. Lewis|ple417
American Economic Review|2000|David Lucking-Reiley|pre371
American Economic Review|2000|John A. List|pli176
American Economic Review|2000|Joseph Henrich|phe292
American Economic Review|2000|Simon Gachter|pga108
American Economic Review|2000|Ernst Fehr|pfe29
American Economic Review|2000|R. Mark Isaac|pis15
American Economic Review|2000|Duncan James|none
American Economic Review|2000|Lisa A. Kramer|pkr290
American Economic Review|2000|Maurice D. Levi|ple633
American Economic Review|2000|Lones Smith|psm1
American Economic Review|2000|Stephen Gordon|pgo166
American Economic Review|2000|C. Lanier Benkard|none
American Economic Review|2000|Thomas G. McGuire|none
American Economic Review|2000|Jacob Glazer|pgl69
American Economic Review|2000|James Konow|pko77
American Economic Review|2000|Eric van Wincoop|pva387
American Economic Review|2000|Philippe Bacchetta|pba111
American Economic Review|2000|Cormac O Grada|pog2
American Economic Review|2000|Morgan Kelly|pke135
American Economic Review|2000|Finn E. Kydland|pky2
American Economic Review|2000|Scott Freeman|pfr96
American Economic Review|2000|Stephanie Schmitt-Grohe|psc44
American Economic Review|2000|Peter J. Klenow|pkl2
American Economic Review|2000|Mark Bils|pbi148
American Economic Review|2000|Dennis D. Kimko|none
American Economic Review|2000|Eric A. Hanushek|pha97
American Economic Review|2000|Caroline M. Hoxby|pho46
American Economic Review|2000|John McLaren|pmc174
American Economic Review|2000|Giovanni Maggi|pma1315
American Economic Review|2000|Gene M. Grossman|pgr21
American Economic Review|2000|Enrico Spolaore|psp27
American Economic Review|2000|Alberto Alesina|pal207
American Economic Review|2000|Romain Wacziarg|pwa67
American Economic Review|2000|Jonas D. M. Fisher|pfi4
American Economic Review|2000|Jeffrey R. Campbell|pca89
American Economic Review|2000|William Wascher|pwa356
American Economic Review|2000|David Neumark|pne16
American Economic Review|2000|Alan B. Krueger|pkr63
American Economic Review|2000|David Card|pca271
American Economic Review|2000|Alan S. Blinder|pbl41
American Economic Review|2000|Christopher Hanes|pha665
American Economic Review|2000|Christopher J. Erceg|per53
American Economic Review|2000|Michael D. Bordo|pbo243
American Economic Review|2000|Charles L. Evans|pev23
American Economic Review|2000|Gabriel Perez-Quiros|ppe255
American Economic Review|2000|Margaret M. McConnell|none
American Economic Review|2000|William C. Strange|pst178
American Economic Review|2000|Robert W. Helsley|phe158
American Economic Review|2000|Hans Peter Gruner|none
American Economic Review|2000|Giacomo Corneo|pco636
American Economic Review|2000|Eckhard Janeba|pja312
American Economic Review|2000|Edwin G. West|none
American Economic Review|2000|Zhiqi Chen|pch481
American Economic Review|2000|R. A. Mundell|pmu18
American Economic Review|2001|Dale W. Jorgenson|pjo23
American Economic Review|2001|Saul Pleeter|none
American Economic Review|2001|John T. Warner|pwa308
American Economic Review|2001|Larry H. P. Lang|pla299
American Economic Review|2001|Leslie Young|pyo123
American Economic Review|2001|Richard H. Thaler|pth67
American Economic Review|2001|Shlomo Benartzi|none
American Economic Review|2001|LuisM. Viceira|pvi31
American Economic Review|2001|John Y. Campbell|pca54
American Economic Review|2001|Andrew B. Abel|pab10
American Economic Review|2001|Lawrence J. Christiano|pch45
American Economic Review|2001|Michele Boldrin|pbo31
American Economic Review|2001|Jonas D. M. Fisher|pfi4
American Economic Review|2001|Stephanie Schmitt-Grohe|psc44
American Economic Review|2001|Jess Benhabib|pbe53
American Economic Review|2001|Martin Uribe|pur9
American Economic Review|2001|Pedro Portugal|ppo66
American Economic Review|2001|Olivier Blanchard|pbl2
American Economic Review|2001|Curtis R. Taylor|none
American Economic Review|2001|Thomas D. Jeitschko|pje27
American Economic Review|2001|Nicola Persico|ppe261
American Economic Review|2001|Alessandro Lizzeri|pli177
American Economic Review|2001|Marie Thursby|pth283
American Economic Review|2001|Richard Jensen|pje69
American Economic Review|2001|Martin L. Weitzman|pwe175
American Economic Review|2001|William J. Collins|pco315
American Economic Review|2001|Joseph M. Prince|none
American Economic Review|2001|Richard H. Steckel|pst352
American Economic Review|2001|Farley Grubb|pgr272
American Economic Review|2001|Dean M. Maki|none
American Economic Review|2001|Paul H. Malatesta|pma1638
American Economic Review|2001|Kathryn L. DeWenter|none
American Economic Review|2001|Robert J. MacCulloch|pma305
American Economic Review|2001|Rafael Di Tella|pdi128
American Economic Review|2001|Andrew J. Oswald|pos21
American Economic Review|2001|Hessel Oosterbeek|poo5
American Economic Review|2001|Hessel Oosterbeek|poo5
American Economic Review|2001|Edwin Leuven|ple65
American Economic Review|2001|Masanori Hashimoto|none
American Economic Review|2001|Robert E. Hall|pha128
American Economic Review|2001|Robert J. Barro|pba251
American Economic Review|2001|Lawrence F. Katz|pka266
American Economic Review|2001|Claudia Goldin|pgo601
American Economic Review|2001|Eric A. Hanushek|pha97
American Economic Review|2001|Ronald W. Jones|none
American Economic Review|2001|Ronald Findlay|pfi15
American Economic Review|2001|Lee E. Ohanian|poh1
American Economic Review|2001|Kenneth L. Sokoloff|pso397
American Economic Review|2001|Naomi R. Lamoreaux|none
American Economic Review|2001|Larry G. Epstein|pep2
American Economic Review|2001|Christopher A. Sims|psi12
American Economic Review|2001|Gary Chamberlain|none
American Economic Review|2001|Thomas J. Sargent|psa83
American Economic Review|2001|LarsPeter Hansen|pha303
American Economic Review|2001|Sendhil Mullainathan|pmu103
American Economic Review|2001|Marianne Bertrand|pbe697
American Economic Review|2001|Joseph Henrich|phe292
American Economic Review|2001|Sudhir Alladi Venkatesh|none
American Economic Review|2001|Steven D. Levitt|ple59
American Economic Review|2001|Jonathan Gruber|pgr20
American Economic Review|2001|William N. Evans|pev28
American Economic Review|2001|Thomas S. Dee|pde619
American Economic Review|2001|Thomas Lemieux|ple92
American Economic Review|2001|David Card|pca271
American Economic Review|2001|Charles F. Manski|pma111
American Economic Review|2001|Edward Vytlacil|pvy2
American Economic Review|2001|James J. Heckman|phe22
American Economic Review|2001|Petra E. Todd|pto286
American Economic Review|2001|Jeffrey A. Smith|psm73
American Economic Review|2001|Christopher Taber|none
American Economic Review|2001|Hidehiko Ichimura|pic1
American Economic Review|2001|H. Elizabeth Peters|ppe404
American Economic Review|2001|Laura M. Argys|none
American Economic Review|2001|Rocio Ribero|none
American Economic Review|2001|Daniela Del Boca|pde117
American Economic Review|2001|Elizabeth T. Powers|ppo147
American Economic Review|2001|Alison Aughinbaugh|none
American Economic Review|2001|Greg J. Duncan|pdu397
American Economic Review|2001|Rachel Dunifon|pdu20
American Economic Review|2001|Jeanne Brooks-Gunn|none
American Economic Review|2001|Herbert Gintis|pgi6
American Economic Review|2001|Samuel Bowles|none
American Economic Review|2001|Melissa Osborne|pos42
American Economic Review|2001|Richard A. Fry|pbl81
American Economic Review|2001|Anthony P. Carnevale|none
American Economic Review|2001|B. Lindsay Lowell|none
American Economic Review|2001|Wayne K. Talley|none
American Economic Review|2001|James Peoples|ppe703
American Economic Review|2001|Richard U. Agesa|none
American Economic Review|2001|Jacqueline Agesa|none
American Economic Review|2001|Gary A. Hoover|pho403
American Economic Review|2001|Samuel L. Myers|pmy23
American Economic Review|2001|Chanjin Chung|pch1231
American Economic Review|2001|Lisa Saunders|none
American Economic Review|2001|Patrick L. Mason|pma376
American Economic Review|2001|Michael D. Whinston|pwh46
American Economic Review|2001|George Baker|none
American Economic Review|2001|Thomas N. Hubbard|none
American Economic Review|2001|Sendhil Mullainathan|pmu103
American Economic Review|2001|David Scharfstein|psc177
American Economic Review|2001|Susan Athey|pat6
American Economic Review|2001|John Roberts|pro554
American Economic Review|2001|Raghuram G. Rajan|pra149
American Economic Review|2001|Luigi Zingales|pzi101
American Economic Review|2001|George Baker|none
American Economic Review|2001|Robert Gibbons|pgi283
American Economic Review|2001|Kevin J. Murphy|pmu108
American Economic Review|2001|Kevin J. Murphy|pmu108
American Economic Review|2001|Fernando Alvarez|pal356
American Economic Review|2001|Robert E. Lucas|plu15
American Economic Review|2001|Warren E. Weber|pwe163
American Economic Review|2001|Laurence H. Meyer|none
American Economic Review|2001|Eric T. Swanson|psw16
American Economic Review|2001|Volker W. Wieland|pwi9
American Economic Review|2001|Michael Woodford|pwo3
American Economic Review|2001|Rudi Dornbusch|pdo31
American Economic Review|2001|Kenneth Rogoff|pro164
American Economic Review|2001|Richard Clarida|pcl69
American Economic Review|2001|Jordi Gali|pga43
American Economic Review|2001|Mark Gertler|pge11
American Economic Review|2001|Ben S. Bernanke|pbe55
American Economic Review|2001|Mark Gertler|pge11
American Economic Review|2001|Bennett T. McCallum|pmc4
American Economic Review|2001|Ernst R. Berndt|none
American Economic Review|2001|Neal J. Rappaport|none
American Economic Review|2001|Mark Bils|pbi148
American Economic Review|2001|Peter J. Klenow|pkl2
American Economic Review|2001|David M. Cutler|pcu64
American Economic Review|2001|Mark McClellan|none
American Economic Review|2001|Jean-Jacques Laffont|pla127
American Economic Review|2001|Mark Armstrong|par85
American Economic Review|2001|Jerry A. Hausman|pha893
American Economic Review|2001|J. Gregory Sidak|none
American Economic Review|2001|HalJ. Singer|pgo175
American Economic Review|2001|MartinNeil Baily|none
American Economic Review|2001|Robert Z. Lawrence|pla608
American Economic Review|2001|Alice M. Rivlin|pri423
American Economic Review|2001|Barbara M. Fraumeni|none
American Economic Review|2001|Angel de la Fuente|pde52
American Economic Review|2001|Rafael Domenech|pdo18
American Economic Review|2001|Francesco Caselli|pca205
American Economic Review|2001|Wilbur John Coleman|pco73
American Economic Review|2001|Boyan Jovanovic|pjo20
American Economic Review|2001|Peter L. Rousseau|pro64
American Economic Review|2001|Jack Hirshleifer|phi209
American Economic Review|2001|Herschel I. Grossman|pgr65
American Economic Review|2001|Stergios Skaperdas|psk27
American Economic Review|2001|Constantinos Syropoulos|psy2
American Economic Review|2001|Eric W. Bond|pbo305
American Economic Review|2001|Ronald W. Jones|none
American Economic Review|2001|Sugata Marjit|pma1118
American Economic Review|2001|Kathryn M. E. Dominguez|pdo227
American Economic Review|2001|Linda L. Tesar|pte111
American Economic Review|2001|M. Ayhan Kose|pko65
American Economic Review|2001|Kei-Mu Yi|pyi44
American Economic Review|2001|Christian Broda|none
American Economic Review|2001|Alberto Alesina|pal207
American Economic Review|2001|Robert J. Barro|pba251
American Economic Review|2001|Andrew K. Rose|pro71
American Economic Review|2001|Eric van Wincoop|pva387
American Economic Review|2001|George Allayannis|none
American Economic Review|2001|Jane Ihrig|none
American Economic Review|2001|James P. Weston|none
American Economic Review|2001|Kathryn M. E. Dominguez|pdo227
American Economic Review|2001|Linda L. Tesar|pte111
American Economic Review|2001|Linda Goldberg|pgo256
American Economic Review|2001|Joseph Tracy|ptr23
American Economic Review|2001|Pierre-Olivier Gourinchas|pgo28
American Economic Review|2001|Jonathan A. Parker|ppa21
American Economic Review|2001|Kjetil Storesletten|pst4
American Economic Review|2001|Chris I. Telmer|pte102
American Economic Review|2001|Amir Yaron|pya156
American Economic Review|2001|Marco Cagetti|none
American Economic Review|2001|Douglas W. Diamond|pdi80
American Economic Review|2001|Raghuram G. Rajan|pra149
American Economic Review|2001|Steven N. Kaplan|pka426
American Economic Review|2001|Per Stromberg|pst18
American Economic Review|2001|Edward L. Glaeser|pgl9
American Economic Review|2001|Andrei Shleifer|psh93
American Economic Review|2001|Tano Santos|none
American Economic Review|2001|Jose A. Scheinkman|psc26
American Economic Review|2001|Michael K. Salemi|none
American Economic Review|2001|William E. Becker|pbe156
American Economic Review|2001|Michael Watts|pwa378
American Economic Review|2001|William B. Walstad|none
American Economic Review|2001|John J. Siegfried|psi31
American Economic Review|2001|John J. Siegfried|psi31
American Economic Review|2001|John J. Siegfried|psi31
American Economic Review|2001|John J. Siegfried|psi31
American Economic Review|2001|John J. Siegfried|psi31
American Economic Review|2001|Orley Ashenfelter|none
American Economic Review|2001|John McMillan|pmc60
American Economic Review|2001|Alan B. Krueger|pkr63
American Economic Review|2001|William B. Walstad|none
American Economic Review|2001|William Darity Jr.|pda222
American Economic Review|2001|Cecilia A. Conrad|none
American Economic Review|2001|Beth Allen|none
American Economic Review|2001|John Taylor|pta174
American Economic Review|2001|Charles E. Scott|none
American Economic Review|2001|Daniel McFadden|pmc7
American Economic Review|2001|David Genesove|pge30
American Economic Review|2001|Wallace P. Mullin|none
American Economic Review|2001|Philip A. Haile|pha381
American Economic Review|2001|Tasneem Chipty|none
American Economic Review|2001|Michael R. Baye|pba279
American Economic Review|2001|John Morgan|pmo131
American Economic Review|2001|John Conlisk|none
American Economic Review|2001|Rachel E. Kranton|pkr176
American Economic Review|2001|Deborah F. Minehart|none
American Economic Review|2001|Edward E. Schlee|psc74
American Economic Review|2001|Yeon-Koo Che|pch91
American Economic Review|2001|Seung-Weon Yoo|none
American Economic Review|2001|Benny Moldovanu|pmo12
American Economic Review|2001|Aner Sela|none
American Economic Review|2001|H. Peyton Young|pyo43
American Economic Review|2001|Mary A. Burke|pbr719
American Economic Review|2001|Mary A. Burke|pbr719
American Economic Review|2001|David Altig|pal429
American Economic Review|2001|Roberto Perotti|ppe66
American Economic Review|2001|Arthur Lewbel|ple43
American Economic Review|2001|Bruce W. Hamilton|none
American Economic Review|2001|Sydney C. Ludvigson|plu153
American Economic Review|2001|Alexander Michaelides|pmi112
American Economic Review|2001|Paul Beaudry|pbe35
American Economic Review|2001|Mustafa Caglayan|pca30
American Economic Review|2001|Fabio Schiantarelli|psc8
American Economic Review|2001|Robert S. Chirinko|pch94
American Economic Review|2001|Huntley Schaller|psc216
American Economic Review|2001|Martin Browning|pbr221
American Economic Review|2001|M. Dolores Collado|pco161
American Economic Review|2001|David L. Carr|none
American Economic Review|2001|James R. Markusen|pma528
American Economic Review|2001|Keith E. Maskus|pma232
American Economic Review|2001|Massimo Bordignon|pbo259
American Economic Review|2001|Paolo Manasse|pma149
American Economic Review|2001|Guido Tabellini|pta37
American Economic Review|2001|Tracy R. Lewis|ple417
American Economic Review|2001|David E. M. Sappington|psa323
American Economic Review|2001|Dieter Balkenborg|pba181
American Economic Review|2001|Rohan Pitchford|none
American Economic Review|2001|Dean R. Hyslop|phy11
American Economic Review|2001|Guido W. Imbens|pim4
American Economic Review|2001|Donald B. Rubin|none
American Economic Review|2001|Bruce I. Sacerdote|psa934
American Economic Review|2001|Esther Duflo|pdu166
American Economic Review|2001|Sandra E. Black|pbl92
American Economic Review|2001|Philip E. Strahan|none
American Economic Review|2001|B. Douglas Bernheim|pbe81
American Economic Review|2001|Jonathan Skinner|psk23
American Economic Review|2001|Steven Weinberg|none
American Economic Review|2001|Keith Head|phe156
American Economic Review|2001|John Ries|pri96
American Economic Review|2001|Werner Antweiler|pan25
American Economic Review|2001|Brian R. Copeland|pco51
American Economic Review|2001|M. Scott Taylor|pta60
American Economic Review|2001|Lars-Hendrik Roller|none
American Economic Review|2001|Hanming Fang|pfa17
American Economic Review|2001|Daron Acemoglu|pac16
American Economic Review|2001|James A. Robinson|pro179
American Economic Review|2001|Athanasios Orphanides|por35
American Economic Review|2001|Jesper Linde|pli302
American Economic Review|2001|Mark Bils|pbi148
American Economic Review|2001|Peter J. Klenow|pkl2
American Economic Review|2001|Stefano G. Athanasoulis|none
American Economic Review|2001|Robert J. Shiller|psh69
American Economic Review|2001|Gerard J. van den Berg|pva310
American Economic Review|2001|Jan C. van Ours|pva54
American Economic Review|2001|Menno P. Pradhan|none
American Economic Review|2001|David W. Galenson|pga428
American Economic Review|2001|Bruce A. Weinberg|pwe74
American Economic Review|2001|Marcus Asplund|pas45
American Economic Review|2001|Richard Friberg|pfr105
American Economic Review|2001|John Piggott|ppi34
American Economic Review|2001|John Whalley|pwh8
