nombre,categoria,cargo,instucion,year,descrip-cargo,descrip-intitucion,descrip-year
STEPHEN YEAPLE,revisar/anadir,Bhagwati Prize for the best paper in the Journal of International Economics,_,2005-2006,revisar/anadir cargo,revisar/anadir institucion,0
STEPHEN YEAPLE,revisar/anadir,Outstanding Undergraduate Instructor,Penn State University,2008-2014,revisar/anadir cargo,0,0
STEPHEN YEAPLE,revisar/anadir,Co-chair,_,2015,revisar/anadir cargo,revisar/anadir institucion,0
STEPHEN YEAPLE,revisar/anadir,Co-chair,_,2014,revisar/anadir cargo,revisar/anadir institucion,0
STEPHEN YEAPLE,revisar/anadir,Co-chair,_,2013,revisar/anadir cargo,revisar/anadir institucion,0
Sherry Xin Li,revisar/anadir,Ph.D.,University of Michigan_Economics_Ann Arbor,MI                                                 2006,0,revisar/anadir institucion,0
Sherry Xin Li,revisar/anadir,M.A.,Syracuse University_Economics_Syracuse,NY                                                         2000,0,revisar/anadir institucion,0
Sherry Xin Li,revisar/anadir,M.A.,_Public Finance_Renmin (People’s) University of China_Beijing,P.R.China            1998,0,revisar/anadir intitucion,0
Sherry Xin Li,revisar/anadir,B.A.,_Public Finance_Renmin (People’s) University of China_Beijing,P.R.China             1995,0,revisar/anadir intitucion,0
Sherry Xin Li,revisar/anadir,Assistant Professor of Economics and,_,August 2006 - Present      University of Texas at Dallas,revisar/anadir cargo,revisar/anadir institucion,0
Sherry Xin Li,revisar/anadir,Joel Slemrod (Chair),_Thesis Committee_Charles Brown_Yan Chen_Daniel Silverman,,revisar/anadir cargo,0,revisar/anadir anio
Sherry Xin Li,revisar/anadir,National Science Foundation Grant,_SES-0720936.  Collaborative Research_Social Identity,,revisar/anadir cargo,0,revisar/anadir anio
Sherry Xin Li,revisar/anadir,Rackham One-Term Dissertation Fellowship,_,University of Michigan                                      Fall 2005,revisar/anadir cargo,revisar/anadir institucion,0
Sherry Xin Li,revisar/anadir,Richard A. Musgrave Fellowship,_Office of Tax Policy Research,2000,revisar/anadir cargo,revisar/anadir intitucion,0
Sherry Xin Li,other,Instructor,_EPPS,University of Texas at Dallas                                                                    2006-present,0,revisar/anadir intitucion,0
Sherry Xin Li,revisar/anadir,Graduate Student Instructor,Department of Economics,University of Michigan                  2000-2003,revisar/anadir cargo,0,0
Sherry Xin Li,teaching,Teaching Assistant,Department of Economics,Syracuse University                                     1998-1999,0,0,0
Silvana Tenreyro,professor,Professor,London School of Economics_,,0,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Associate Professor (Reader),London School of Economics_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Assistant Professor (Lecturer),London School of Economics_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,associate,Associate Editor,Quarterly Journal of Economics_,,0,0,revisar/anadir anio
Silvana Tenreyro,director/co-director,Co-Director,Review of Economic Studies_,,0,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Associate Editor (Member of the editorial board),Review of Economic Studies_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,associate,Associate Editor,Journal of Monetary Economics_,,0,0,revisar/anadir anio
Silvana Tenreyro,associate,Associate Editor,_Journal of European Economic Association (JEEA),,0,0,revisar/anadir anio
Silvana Tenreyro,associate,Associate Editor,Economic Journal_,,0,0,revisar/anadir anio
Silvana Tenreyro,associate,Associate Editor,_Economica,,0,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Member of the Editorial Panel,Economic Policy_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,External Monetary Policy Committee Member,Bank of England_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,External Monetary Policy Committee Member,_Bank of Mauritius,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Chair of Women’s Committee,Royal Economic Society_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Member of the Executive Committee,Royal Economic Society_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Elected Member At Large of the Executive Committee,EEA_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Academic Visitor,Bank of England_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Houblon-Norman and Goerge Fellows,_Bank of England Selection Committee,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Advisory Board Member,_,National Institute of Economics and Social Reseearch 2017-,revisar/anadir cargo,revisar/anadir institucion,0
Silvana Tenreyro,revisar/anadir,Director of Macroeconomics Research Program,_International Growth Center,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Women in Economics Committee Member,EEA_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Chair of Women in Economics Committee,European Economic Association_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,fellow,Research Fellow,_Center for Economic Performance (CEP),,0,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Bank of Spain Associate Professor and Visiting Researcher,CREI_CREI_,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Founding Member of and contributor to CIPPEC,_Argentina. www.cippec.org,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Grants and Awards,_Academic Honours,,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Excellence in Refereeing Award,_,American Economic Review 2014.,revisar/anadir cargo,revisar/anadir institucion,0
Silvana Tenreyro,revisar/anadir,FOMEC Fellowship,_,Argentina. 1997-1998.,revisar/anadir cargo,revisar/anadir institucion,0
Silvana Tenreyro,revisar/anadir,Macroeconomic Theory I and II (Teaching Fellow,_Graduate_Harvard),,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Reka Juhazs (Assistant Professor at Columbia University,_Princeton Fellow),,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Regis Barnichon (Assistant Professor CREI,_Pompeu Fabra),,revisar/anadir cargo,0,revisar/anadir anio
Silvana Tenreyro,revisar/anadir,Programme Chair European Economic Association Congress,_,Lisbon 2017.,revisar/anadir cargo,revisar/anadir institucion,0
Simon Cowan,revisar/anadir,Wigmore Clarendon Fellow and Tutor in Economics at Worcester College,Oxford_and,,revisar/anadir cargo,0,revisar/anadir anio
Simon Cowan,revisar/anadir,Associate Professor in Economics,_Department of Economics.,,revisar/anadir cargo,0,revisar/anadir anio
Simon Cowan,revisar/anadir,Professor J. Vickers,_Supervisor,,revisar/anadir cargo,0,revisar/anadir anio
Simon Cowan,revisar/anadir,Professor P. Klemperer (Oxford) and Professor M. Waterson,_Examiners,,revisar/anadir cargo,0,revisar/anadir anio
Simon Cowan,revisar/anadir,Director of Undergraduate Studies,Department of Economics,2012-2015,revisar/anadir cargo,0,0
Simon Cowan,revisar/anadir,Course Director for Philosophy,_Politics and Economics_and Chair of the PPE,,revisar/anadir cargo,0,revisar/anadir anio
Simon Cowan,revisar/anadir,Associate Editor (2005-2011) of Oxford Economic,_,Managing Editor (1996-2005),revisar/anadir cargo,revisar/anadir institucion,0
Simon Cowan,revisar/anadir,Chair of the Board of Oxford Economic Papers Association,_,2016-,revisar/anadir cargo,revisar/anadir institucion,0
Simon Cowan,editor,Editorial Board,Fiscal Studies,2000-2010,0,0,0
Simon Cowan,editor,Editorial Board,Journal of Regulatory Economics,2005-,0,0,0
Simon Cowan,editor,Editorial Board,Oxford Review of Economic Policy,2011-,0,0,0
Simon Cowan,revisar/anadir,Oxford Economic Research Associates,_Consultancy work for Coopers & Lybrand_the,,revisar/anadir cargo,0,revisar/anadir anio
Simon Cowan,revisar/anadir,MSc in Environmental and Resource,University College London_External examining,,revisar/anadir cargo,0,revisar/anadir anio
Simon Gachter,revisar/anadir,simon.gaechter@nottingham.ac.uk,_Phone_+44 115 8466132; email,,revisar/anadir cargo,0,revisar/anadir anio
Simon Gachter,revisar/anadir,• Visiting students since 2005,_Gerald Eisenkopf (Konstanz); Julie Rosaz (Lyon); Manuela,,revisar/anadir cargo,0,revisar/anadir anio
Simon Gachter,revisar/anadir,9. Erskine Fellow,_University of Canterbury_Christchurch_New Zealand,July-August 2012.,revisar/anadir cargo,revisar/anadir intitucion,0
Siwan  Anderson,professor,Professor,University of British Columbia_Vancouver School of Economics,,0,0,revisar/anadir anio
Siwan  Anderson,research,Research Associate,Department of Economics_University of Stellenbosch_South Africa,,0,0,revisar/anadir anio
Siwan  Anderson,fellow,Fellow,_Bureau for Research and Economic Analysis of Development (BREAD),,0,0,revisar/anadir anio
Siwan  Anderson,associate,Associate Editor,Review of Economics and Statistics_,,0,0,revisar/anadir anio
Siwan  Anderson,associate,Associate Editor,Journal of Development Economics_,,0,0,revisar/anadir anio
Siwan  Anderson,editor,Editorial Board,_Journal of Globalization and Development,,0,0,revisar/anadir anio
Siwan  Anderson,revisar/anadir,Ph.D. Economics,University of British Columbia,1999,revisar/anadir cargo,0,0
Siwan  Anderson,revisar/anadir,M.A. Economics,University of British Columbia,1992,revisar/anadir cargo,0,0
Siwan  Anderson,professor,Associate Professor,_,University of British Columbia (2008 - 2016),0,revisar/anadir institucion,0
Siwan  Anderson,associate,Associate Editor,_,Indian Review of Growth and Development (2007 - 2014),0,revisar/anadir institucion,0
Siwan  Anderson,professor,Assistant Professor,_,University of British Columbia (2002 - 2008),0,revisar/anadir institucion,0
Siwan  Anderson,professor,Assistant Professor,Tilburg University,The Netherlands (1999-2002),0,0,0
Siwan  Anderson,fellow,Research Fellow,University of Melbourne,Australia (1999),0,0,0
Siwan  Anderson,fellow,Research Fellow,University of Namur,Belgium (1998),0,0,0
Siwan  Anderson,revisar/anadir,DFID - EDI Research Grant,_,2018 - 2019,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,Monash University Internal Research Grant (co-investigator),_,2018 - 2019,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,CERC Internal Research Grant,_,2018 - 2019,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,DFID - EDI Research Grant,_,2017 - 2019,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,IRDC Research Grant (co-investigator),_,2015 - 2017,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,SSHRC Insight Grant,_,2015 - 2019,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,Hampton Research Grant,_,2014 - 2016,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,IGC Research Grant (co-investigator),_,2014 - 2015,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,IGC Research Grant (co-investigator),_,2012 - 2013,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,IRDC Research Grant (co-investigator),_,2012 - 2016,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,IGC Research Grant (co-investigator),_,2011 - 2012,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,UNSW Internal Grant (co-investigator),_,2011 - 2012,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,Weatherall Visiting Fellowship at Queen’s Univerisity,_,2010,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,SSHRC Research Grant,_,2009 - 2012,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,SSHRC Research Grant (co-investigator),_,2007 - 2010,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,UBC Killam Research Prize,_,2007,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,SSHRC Research Grant (with Research Time Stipend),_,2006 - 2009,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,HSS Hampton Large Grant (co-investigator),_,2004 - 2006,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,SSHRC Research Grant,_,2003 - 2006,revisar/anadir cargo,revisar/anadir institucion,0
Siwan  Anderson,revisar/anadir,HSS Hampton Small Grant,_,2002 - 2003,revisar/anadir cargo,revisar/anadir institucion,0
Sophocles Mavroeidis,revisar/anadir,Professor of Macroeconometrics (since May 2013),Oxford University_,,revisar/anadir cargo,0,revisar/anadir anio
Sophocles Mavroeidis,revisar/anadir,Fellow of Macroeconomics,Oxford_University College,,revisar/anadir cargo,0,revisar/anadir anio
Sophocles Mavroeidis,revisar/anadir,Assistant Professor of Economics,Brown University_,,revisar/anadir cargo,0,revisar/anadir anio
Sophocles Mavroeidis,revisar/anadir,Postdoctoral Research Fellow,_Department of Quantitative Economics,,revisar/anadir cargo,0,revisar/anadir anio
Sophocles Mavroeidis,visiting,Visiting Scholar,Department of Economics_Harvard University.,,0,0,revisar/anadir anio
Sophocles Mavroeidis,revisar/anadir,Associate editor for the Journal of Econometrics,Quantitative Economics_(ii) To the profession,,revisar/anadir cargo,0,revisar/anadir anio
Sophocles Mavroeidis,revisar/anadir,European Research Council Consolidator Grant (Award # 647152) for project,_New,2015-2020,revisar/anadir cargo,revisar/anadir intitucion,0
Sophocles Mavroeidis,revisar/anadir,E.U. Marie Curie Career Reintegration Grant (Award # 293675).,_,2012-2015,revisar/anadir cargo,revisar/anadir institucion,0
Sophocles Mavroeidis,revisar/anadir,Philip Leverhulme Prize in Economics.,_,2011,revisar/anadir cargo,revisar/anadir institucion,0
Sophocles Mavroeidis,revisar/anadir,U.S. National Science foundation research grant (Award # 1022623) for project,_,2010-2011,revisar/anadir cargo,revisar/anadir institucion,0
Sophocles Mavroeidis,revisar/anadir,Young economist award,_Central Bank of Turkey_for paper presented at international,2001,revisar/anadir cargo,revisar/anadir intitucion,0
Sophocles Mavroeidis,revisar/anadir,Economic and Social Research Council doctoral award (Award # R00429924298),_,1999-2001,revisar/anadir cargo,revisar/anadir institucion,0
Stephanie Riegg Cellini,revisar/anadir,Professor of Public Policy and Public Administration,_and of Economics (by courtesy),,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,2012-2019 Associate Professor,_Trachtenberg School_George Washington University,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,2006-2012  Assistant Professor,_Trachtenberg School_George Washington University,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Education Policy Fellow,_U.S. House of Representatives Committee on Education and,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Board Member,_Association for Education Finance and Policy (elected_3-year term),,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Nonresident Senior Fellow,_the Brookings Institution_Governance Studies,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,research,Research Associate,National Bureau of Economic Research (NBER)_Economics of,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Education Program (Faculty Research Fellow 2012-2015,_Nominations Steering,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Program Director,_Master of Public Administration (MPA)_Trachtenberg School of,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,2014-2019 Associate Editor,_Education Finance and Policy_MIT Press,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Ph.D.,University of California_Economics_Los Angeles,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,M.A.,University of California_Economics_Los Angeles,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,B.A.,Stanford University_Public Policy with Honors_with Distinction,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Baccalaureate Institutions,_California Center for Population Research Working Paper No. 012-05,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,award,Award,_Honorable Mention,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Los Angeles (UCLA) Dissertation Year Fellowship,University of California_,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,National Science Foundation (NSF) Graduate Fellowship,_Honorable Mention,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Co-Instructor (with James E. Kee),_Cost-Benefit and Cost-Effectiveness Analysis_The Evaluator’s,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,other,Instructor,_Microeconomic Principles (Economics 201)_Pima Community College_Tucson_AZ,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,teaching,Teaching Assistant,_Public Finance (Economics 130)_UCLA Department of Economics_Los,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,teaching,Teaching Assistant,_Research Design and Methodology (Policy Studies 218)_UCLA School of Public,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Chair & Moderator,_Discussant,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Grant Proposal Reviewer,Smith Richardson Foundation_,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Grant Proposal Reviewer,Smith Richardson Foundation_,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Advisory Committee_Institute for Women’s Policy Research,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Grant Proposal Reviewer,Smith Richardson Foundation_,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Technical Review Panel_Beginning Postsecondary Student Survey_U.S.,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Technical Review Panel_National Postsecondary Student Aid Study_U.S.,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Grant Proposal Reviewer,_Vanderbilt University,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Technical Review Panel on the For-Profit College State Report Card Project,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Technical Review Panel on the Integrated Postsecondary Education Data,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Grant Proposal Reviewer,Smith Richardson Foundation_,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Grant Proposal Reviewer,National Science Foundation_,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Grant Proposal Reviewer,National Science Foundation_,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Knapp Fellowship for Entrepreneurial Service-Learning,_Reviewer,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_George Washington Institute of Public Policy_Policy Research Scholar,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,2008-2010 Member,_Faculty Senate Committee on Athletics and Recreation,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Admissions Director Search Committee,_Member,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Faculty Search Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Research Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Reappointment_Promotion_and Tenure Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,2016-2019 Member,_Executive Committee,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,2016-2019 Co-chair,_Curriculum Committee,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Faculty Search Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Online Degree Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_PhD Admissions Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Reappointment_Promotion_and Tenure Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Online Degree Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Faculty Search Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Reappointment_Promotion_and Tenure Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Committee on MPP Economics Courses,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,chair/chairman,Chair,_Committee on MPP International Development Policy field,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Public Policy Faculty Search Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Ph.D. Admissions Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Committee on Teaching Assistant Awards,_Chair,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Committee on Ph.D. Student Courses,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Faculty Search Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_External Relations/Website Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,member,Member,_Masters’ Curriculum Committee,,0,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Dissertation Director,_Kristin Blagg_Ph.D. Public Policy & Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Committee Member,_Alycia Johnson_Ed.D. Higher Education Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Committee Member,_Jill Verret_Ph.D. Public Policy & Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Ph.D. Public Policy & Administration,_Reader_Lauren Eyster,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Dissertation Director,_Joselynn Fountain_Ph.D. Public Policy & Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Ph.D. Economics,_Reader_Yiseon Yoo,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Committee Member,_Adrienne Edisis_Ph.D. Public Policy & Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Dissertation Director,_Diana Hincapie_Ph.D. Public Policy & Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Dissertation Director,_Rajeev Darolia_Ph.D. Public Policy & Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,(Outstanding Dissertation Award Winner,_Association for Education Finance & Policy),,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Ph.D. Public Policy & Administration,_Reader_Tracy Vericker,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Committee Member,_Ana Karruz_Ph.D. Public Policy & Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Committee Member,_Adriana Maraviglia_Ph.D. Public Policy & Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Ph.D. Economics,_Reader_Jeremy Schwartz,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Committee Member,_Subha Nagarajan_Ph.D. Public Policy & Administration,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Ph.D. Public Policy & Administration,_Reader_Sarah Lee,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,Ph.D. Public Policy & Administration,_Reader_Jennifer Sloan McCombs,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,2003-2004 Graduate Research Assistant,_Professor Thomas Kane_UCLA Department of Policy,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,2002-2003  Graduate Research Assistant,_Professor Janet Currie_UCLA Department of Economics,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,1999-2001   Research Assistant,_Urban Institute_Labor and Social Policy Center,,revisar/anadir cargo,0,revisar/anadir anio
Stephanie Riegg Cellini,revisar/anadir,1996-1997   Research Assistant,_Professor Andrew Creighton_Stanford University Department of,,revisar/anadir cargo,0,revisar/anadir anio
stephane bonhomme,professor,Professor,_University of Chicago.,,0,0,revisar/anadir anio
