,journal,year,author,Name,Short-Id
335,American Economic Review,2001.0,Michele Boldrin,Michele Boldrin,pbo31
337,American Economic Review,2001.0,Stephanie Schmitt-Grohe,Stephanie Schmitt-Grohe,psc44
338,American Economic Review,2001.0,Jess Benhabib,Jess Benhabib,pbe53
339,American Economic Review,2001.0,Martin Uribe,Martin Uribe,pur9
340,American Economic Review,2001.0,Pedro Portugal,Pedro Portugal,ppo66
341,American Economic Review,2001.0,Olivier Blanchard,Olivier Blanchard,pbl2
342,American Economic Review,2001.0,Curtis R. Taylor,Curtis R. Taylor,pta252
343,American Economic Review,2001.0,Thomas D. Jeitschko,Thomas D. Jeitschko,pje27
344,American Economic Review,2001.0,Nicola Persico,Nicola Persico,ppe261
345,American Economic Review,2001.0,Alessandro Lizzeri,Alessandro Lizzeri,pli177
348,American Economic Review,2001.0,Martin L. Weitzman,Martin L. Weitzman,pwe175
349,American Economic Review,2001.0,William J. Collins,William J. Collins,pco315
351,American Economic Review,2001.0,Richard H. Steckel,Richard H. Steckel,pst352
352,American Economic Review,2001.0,Farley Grubb,Farley Grubb,pgr272
354,American Economic Review,2001.0,Paul H. Malatesta,Paul H. Malatesta,pma1638
357,American Economic Review,2001.0,Rafael Di Tella,Rafael Di Tella,pdi128
358,American Economic Review,2001.0,Andrew J. Oswald,Andrew J. Oswald,pos21
359,American Economic Review,2001.0,Hessel Oosterbeek,Hessel Oosterbeek,poo5
360,American Economic Review,2001.0,Edwin Leuven,Edwin Leuven,ple65
363,American Economic Review,2001.0,Robert J. Barro,Robert J. Barro,pba251
364,American Economic Review,2001.0,Lawrence F. Katz,Lawrence F. Katz,pka266
365,American Economic Review,2001.0,Claudia Goldin,Claudia Goldin,pgo601
368,American Economic Review,2001.0,Ronald Findlay,Ronald Findlay,pfi15
377,American Economic Review,2001.0,Sendhil Mullainathan,Sendhil Mullainathan,pmu103
378,American Economic Review,2001.0,Marianne Bertrand,Marianne Bertrand,pbe697
379,American Economic Review,2001.0,Joseph Henrich,Joseph Henrich,phe292
382,American Economic Review,2001.0,Jonathan Gruber,Jonathan Gruber,pgr20
383,American Economic Review,2001.0,William N. Evans,William N. Evans,pev28
385,American Economic Review,2001.0,Thomas Lemieux,Thomas Lemieux,ple92
388,American Economic Review,2001.0,Edward Vytlacil,Edward Vytlacil,pvy2
389,American Economic Review,2001.0,James J. Heckman,James J. Heckman,phe22
393,American Economic Review,2001.0,Hidehiko Ichimura,Hidehiko Ichimura,pic1
394,American Economic Review,2001.0,H. Elizabeth Peters,H. Elizabeth Peters,ppe404
397,American Economic Review,2001.0,Daniela Del Boca,Daniela Del Boca,pde117
398,American Economic Review,2001.0,Elizabeth T. Powers,Elizabeth T. Powers,ppo147
401,American Economic Review,2001.0,Rachel Dunifon,Rachel Dunifon,pdu20
403,American Economic Review,2001.0,Herbert Gintis,Herbert Gintis,pgi6
410,American Economic Review,2001.0,James Peoples,James Peoples,ppe703
415,American Economic Review,2001.0,Chanjin Chung,Chanjin Chung,pch1231
421,American Economic Review,2001.0,Sendhil Mullainathan,Sendhil Mullainathan,pmu103
422,American Economic Review,2001.0,David Scharfstein,David Scharfstein,psc177
423,American Economic Review,2001.0,Susan Athey,Susan Athey,pat6
424,American Economic Review,2001.0,John Roberts,John Roberts,pro554
425,American Economic Review,2001.0,Raghuram G. Rajan,Raghuram G. Rajan,pra149
426,American Economic Review,2001.0,Luigi Zingales,Luigi Zingales,pzi101
428,American Economic Review,2001.0,Robert Gibbons,Robert Gibbons,pgi283
430,American Economic Review,2001.0,Fernando Alvarez,Fernando Alvarez,pal356
432,American Economic Review,2001.0,Warren E. Weber,Warren E. Weber,pwe163
434,American Economic Review,2001.0,Eric T. Swanson,Eric T. Swanson,psw16
436,American Economic Review,2001.0,Michael Woodford,Michael Woodford,pwo3
440,American Economic Review,2001.0,Jordi Gali,Jordi Gali,pga43
441,American Economic Review,2001.0,Mark Gertler,Mark Gertler,pge11
442,American Economic Review,2001.0,Ben S. Bernanke,Ben S. Bernanke,pbe55
443,American Economic Review,2001.0,Mark Gertler,Mark Gertler,pge11
445,American Economic Review,2001.0,John B. Taylor,John B. Taylor,pta174
450,American Economic Review,2001.0,David M. Cutler,David M. Cutler,pcu64
452,American Economic Review,2001.0,Jean-Jacques Laffont,Jean-Jacques Laffont,pla127
454,American Economic Review,2001.0,Mark Armstrong,Mark Armstrong,par85
455,American Economic Review,2001.0,Jerry A. Hausman,Jerry A. Hausman,pha893
460,American Economic Review,2001.0,Robert E. Litan,Robert E. Litan,pli304
461,American Economic Review,2001.0,Alice M. Rivlin,Alice M. Rivlin,pri423
464,American Economic Review,2001.0,Rafael Domenech,Rafael Domenech,pdo18
465,American Economic Review,2001.0,Francesco Caselli,Francesco Caselli,pca205
467,American Economic Review,2001.0,Boyan Jovanovic,Boyan Jovanovic,pjo20
469,American Economic Review,2001.0,Jack Hirshleifer,Jack Hirshleifer,phi209
470,American Economic Review,2001.0,Herschel I. Grossman,Herschel I. Grossman,pgr65
471,American Economic Review,2001.0,Stergios Skaperdas,Stergios Skaperdas,psk27
472,American Economic Review,2001.0,Constantinos Syropoulos,Constantinos Syropoulos,psy2
475,American Economic Review,2001.0,Sugata Marjit,Sugata Marjit,pma1118
476,American Economic Review,2001.0,Kathryn M. E. Dominguez,Kathryn M. E. Dominguez,pdo227
477,American Economic Review,2001.0,Linda L. Tesar,Linda L. Tesar,pte111
479,American Economic Review,2001.0,Kei-Mu Yi,Kei-Mu Yi,pyi44
481,American Economic Review,2001.0,Alberto Alesina,Alberto Alesina,pal207
482,American Economic Review,2001.0,Robert J. Barro,Robert J. Barro,pba251
488,American Economic Review,2001.0,Kathryn M. E. Dominguez,Kathryn M. E. Dominguez,pdo227
489,American Economic Review,2001.0,Linda L. Tesar,Linda L. Tesar,pte111
491,American Economic Review,2001.0,Joseph Tracy,Joseph Tracy,ptr23
492,American Economic Review,2001.0,Pierre-Olivier Gourinchas,Pierre-Olivier Gourinchas,pgo28
493,American Economic Review,2001.0,Jonathan A. Parker,Jonathan A. Parker,ppa21
494,American Economic Review,2001.0,Kjetil Storesletten,Kjetil Storesletten,pst4
496,American Economic Review,2001.0,Amir Yaron,Amir Yaron,pya156
498,American Economic Review,2001.0,Douglas W. Diamond,Douglas W. Diamond,pdi80
499,American Economic Review,2001.0,Raghuram G. Rajan,Raghuram G. Rajan,pra149
501,American Economic Review,2001.0,Per Stromberg,Per Stromberg,pst18
503,American Economic Review,2001.0,Andrei Shleifer,Andrei Shleifer,psh93
508,American Economic Review,2001.0,Michael Watts,Michael Watts,pwa378
510,American Economic Review,2001.0,Ken Rebeck,Ken Rebeck,pre118
511,American Economic Review,2001.0,John J. Siegfried,John J. Siegfried,psi31
512,American Economic Review,2001.0,John J. Siegfried,John J. Siegfried,psi31
513,American Economic Review,2001.0,John J. Siegfried,John J. Siegfried,psi31
514,American Economic Review,2001.0,John J. Siegfried,John J. Siegfried,psi31
515,American Economic Review,2001.0,John J. Siegfried,John J. Siegfried,psi31
516,American Economic Review,2001.0,Orley Ashenfelter,Orley Ashenfelter,pas9
519,American Economic Review,2001.0,John J. Siegfried,John J. Siegfried,psi31
526,American Economic Review,2001.0,John J. Siegfried,John J. Siegfried,psi31
528,American Economic Review,2001.0,David Genesove,David Genesove,pge30
530,American Economic Review,2001.0,Philip A. Haile,Philip A. Haile,pha381
532,American Economic Review,2001.0,Michael R. Baye,Michael R. Baye,pba279
533,American Economic Review,2001.0,John Morgan,John Morgan,pmo131
538,American Economic Review,2001.0,Yeon-Koo Che,Yeon-Koo Che,pch91
540,American Economic Review,2001.0,Benny Moldovanu,Benny Moldovanu,pmo12
542,American Economic Review,2001.0,H. Peyton Young,H. Peyton Young,pyo43
544,American Economic Review,2001.0,David Altig,David Altig,pal429
545,American Economic Review,2001.0,Roberto Perotti,Roberto Perotti,ppe66
546,American Economic Review,2001.0,Arthur Lewbel,Arthur Lewbel,ple43
548,American Economic Review,2001.0,Sydney C. Ludvigson,Sydney C. Ludvigson,plu153
549,American Economic Review,2001.0,Alexander Michaelides,Alexander Michaelides,pmi112
550,American Economic Review,2001.0,Paul Beaudry,Paul Beaudry,pbe35
551,American Economic Review,2001.0,Mustafa Caglayan,Mustafa Caglayan,pca30
552,American Economic Review,2001.0,Fabio Schiantarelli,Fabio Schiantarelli,psc8
555,American Economic Review,2001.0,Martin Browning,Martin Browning,pbr221
556,American Economic Review,2001.0,M. Dolores Collado,M. Dolores Collado,pco161
558,American Economic Review,2001.0,James R. Markusen,James R. Markusen,pma528
559,American Economic Review,2001.0,Keith E. Maskus,Keith E. Maskus,pma232
560,American Economic Review,2001.0,Massimo Bordignon,Massimo Bordignon,pbo259
561,American Economic Review,2001.0,Paolo Manasse,Paolo Manasse,pma149
562,American Economic Review,2001.0,Guido Tabellini,Guido Tabellini,pta37
563,American Economic Review,2001.0,Tracy R. Lewis,Tracy R. Lewis,ple417
564,American Economic Review,2001.0,David E. M. Sappington,David E. M. Sappington,psa323
565,American Economic Review,2001.0,Dieter Balkenborg,Dieter Balkenborg,pba181
571,American Economic Review,2001.0,Esther Duflo,Esther Duflo,pdu166
572,American Economic Review,2001.0,Sandra E. Black,Sandra E. Black,pbl92
574,American Economic Review,2001.0,B. Douglas Bernheim,B. Douglas Bernheim,pbe81
575,American Economic Review,2001.0,Jonathan Skinner,Jonathan Skinner,psk23
577,American Economic Review,2001.0,Keith Head,Keith Head,phe156
578,American Economic Review,2001.0,John Ries,John Ries,pri96
579,American Economic Review,2001.0,Werner Antweiler,Werner Antweiler,pan25
580,American Economic Review,2001.0,Brian R. Copeland,Brian R. Copeland,pco51
581,American Economic Review,2001.0,M. Scott Taylor,M. Scott Taylor,pta60
583,American Economic Review,2001.0,Leonard Waverman,Leonard Waverman,pwa233
584,American Economic Review,2001.0,Hanming Fang,Hanming Fang,pfa17
585,American Economic Review,2001.0,Daron Acemoglu,Daron Acemoglu,pac16
587,American Economic Review,2001.0,Athanasios Orphanides,Athanasios Orphanides,por35
588,American Economic Review,2001.0,Jesper Linde,Jesper Linde,pli302
592,American Economic Review,2001.0,Robert J. Shiller,Robert J. Shiller,psh69
597,American Economic Review,2001.0,Bruce A. Weinberg,Bruce A. Weinberg,pwe74
598,American Economic Review,2001.0,Marcus Asplund,Marcus Asplund,pas45
599,American Economic Review,2001.0,Richard Friberg,Richard Friberg,pfr105
600,American Economic Review,2001.0,John Piggott,John Piggott,ppi34
601,American Economic Review,2001.0,John Whalley,John Whalley,pwh8
602,American Economic Review,2001.0,Raymond Fisman,Raymond Fisman,pfi257
604,American Economic Review,2001.0,Anke S. Kessler,Anke S. Kessler,pke73
607,American Economic Review,2001.0,V. Kerry Smith,V. Kerry Smith,psm143
610,American Economic Review,2001.0,John T. Cuddington,John T. Cuddington,pcu153
612,American Economic Review,2001.0,Gerard Gaudet,Gerard Gaudet,pga5
613,American Economic Review,2001.0,Michel Moreaux,Michel Moreaux,pmo364
615,American Economic Review,2001.0,Anders Sorensen,Anders Sorensen,psr9
616,American Economic Review,2001.0,Andrew B. Bernard,Andrew B. Bernard,pbe478
617,American Economic Review,2001.0,Charles I. Jones,Charles I. Jones,pjo24
623,American Economic Review,2001.0,Bart Hobijn,Bart Hobijn,pho54
624,American Economic Review,2001.0,Boyan Jovanovic,Boyan Jovanovic,pjo20
626,American Economic Review,2001.0,Robert E. Cumby,Robert E. Cumby,pcu115
627,American Economic Review,2001.0,Behzad T. Diba,Behzad T. Diba,pdi273
628,American Economic Review,2001.0,Ernst Fehr,Ernst Fehr,pfe29
629,American Economic Review,2001.0,Jean-Robert Tyran,Jean-Robert Tyran,pty1
632,American Economic Review,2001.0,Vincenzo Quadrini,Vincenzo Quadrini,pqu2
636,American Economic Review,2001.0,E. Woodrow Eckard,E. Woodrow Eckard,pec38
638,American Economic Review,2001.0,Peter Thompson,Peter Thompson,pth1
639,American Economic Review,2001.0,Daron Acemoglu,Daron Acemoglu,pac16
640,American Economic Review,2001.0,Simon Johnson,Simon Johnson,pjo44
643,American Economic Review,2001.0,Charles A. Holt,Charles A. Holt,pho200
644,American Economic Review,2001.0,Donald R. Davis,Donald R. Davis,pda33
646,American Economic Review,2001.0,Gilles Duranton,Gilles Duranton,pdu48
647,American Economic Review,2001.0,Diego Puga,Diego Puga,ppu2
648,American Economic Review,2001.0,Hao Li,Hao Li,pli8
649,American Economic Review,2001.0,Sherwin Rosen,Sherwin Rosen,pro58
650,American Economic Review,2001.0,Wing Suen,Wing Suen,psu33
655,American Economic Review,2001.0,John Wooders,John Wooders,pwo21
659,American Economic Review,2001.0,Cary A. Deck,Cary A. Deck,pde234
660,American Economic Review,2001.0,John Bennett,John Bennett,pbe102
664,American Economic Review,2001.0,Gylfi Zoega,Gylfi Zoega,pzo41
665,American Economic Review,2001.0,Josh Ederington,Josh Ederington,ped37
666,American Economic Review,2001.0,Tore Ellingsen,Tore Ellingsen,pel76
667,American Economic Review,2001.0,Ulf Soderstrom,Ulf Soderstrom,pso33
668,American Economic Review,2001.0,Leif Danziger,Leif Danziger,pda5
669,American Economic Review,2001.0,Richard C. K. Burdekin,Richard C. K. Burdekin,pbu17
671,American Economic Review,2002.0,Sherwin Rosen,Sherwin Rosen,pro58
675,American Economic Review,2002.0,Dan Black,Dan Black,pbl23
678,American Economic Review,2002.0,Paul Gertler,Paul Gertler,pge194
679,American Economic Review,2002.0,Jonathan Gruber,Jonathan Gruber,pgr20
681,American Economic Review,2002.0,Werner Antweiler,Werner Antweiler,pan25
682,American Economic Review,2002.0,Daniel Trefler,Daniel Trefler,ptr44
683,American Economic Review,2002.0,Wolfgang Keller,Wolfgang Keller,pke8
688,American Economic Review,2002.0,Lutz Hendricks,Lutz Hendricks,phe2
689,American Economic Review,2002.0,Charles I. Jones,Charles I. Jones,pjo24
691,American Economic Review,2002.0,Enrico Perotti,Enrico Perotti,ppe58
693,American Economic Review,2002.0,David W. Harless,David W. Harless,pha290
695,American Economic Review,2002.0,Thomas Buchmueller,Thomas Buchmueller,pbu179
697,American Economic Review,2002.0,Darius Lakdawalla,Darius Lakdawalla,pla295
698,American Economic Review,2002.0,Tomas Philipson,Tomas Philipson,pph37
699,American Economic Review,2002.0,Jonah B. Gelbach,Jonah B. Gelbach,pge238
703,American Economic Review,2002.0,Gary Solon,Gary Solon,pso215
707,American Economic Review,2002.0,Christos Kotsogiannis,Christos Kotsogiannis,pko309
710,American Economic Review,2002.0,Charles T. Clotfelter,Charles T. Clotfelter,pcl34
712,American Economic Review,2002.0,Alan M. Taylor,Alan M. Taylor,pta46
714,American Economic Review,2002.0,Daniel Trefler,Daniel Trefler,ptr44
715,American Economic Review,2002.0,Edward C. Prescott,Edward C. Prescott,ppr10
718,American Economic Review,2002.0,Raphael Bergoeing,Raphael Bergoeing,pbe8
719,American Economic Review,2002.0,Patrick J. Kehoe,Patrick J. Kehoe,pke4
720,American Economic Review,2002.0,Timothy J. Kehoe,Timothy J. Kehoe,pke16
721,American Economic Review,2002.0,Raimundo Soto,Raimundo Soto,pso10
722,American Economic Review,2002.0,Patrick J. Kehoe,Patrick J. Kehoe,pke4
728,American Economic Review,2002.0,Douglas W. Diamond,Douglas W. Diamond,pdi80
729,American Economic Review,2002.0,Raghuram G. Rajan,Raghuram G. Rajan,pra149
730,American Economic Review,2002.0,Bengt Holmstrom,Bengt Holmstrom,pho488
731,American Economic Review,2002.0,Jean Tirole,Jean Tirole,pti33
733,American Economic Review,2002.0,John Moore,John Moore,pmo265
734,American Economic Review,2002.0,John Moore,John Moore,pmo847
738,American Economic Review,2002.0,John Moore,John Moore,pmo265
739,American Economic Review,2002.0,John Moore,John Moore,pmo847
741,American Economic Review,2002.0,Ted Temzelides,Ted Temzelides,pte26
742,American Economic Review,2002.0,Randall Wright,Randall Wright,pwr2
743,American Economic Review,2002.0,Jess Benhabib,Jess Benhabib,pbe53
747,American Economic Review,2002.0,Timothy S. Fuerst,Timothy S. Fuerst,pfu6
749,American Economic Review,2002.0,Monika Piazzesi,Monika Piazzesi,ppi37
750,American Economic Review,2002.0,Bill Dupor,Bill Dupor,pdu275
751,American Economic Review,2002.0,Maurice Obstfeld,Maurice Obstfeld,pob13
752,American Economic Review,2002.0,Laurence Ball,Laurence Ball,pba605
754,American Economic Review,2002.0,Athanasios Orphanides,Athanasios Orphanides,por35
757,American Economic Review,2002.0,Bruce D. Smith,Bruce D. Smith,psm3
758,American Economic Review,2002.0,Costas Azariadis,Costas Azariadis,paz5
759,American Economic Review,2002.0,Luisa Lambertini,Luisa Lambertini,pla95
760,American Economic Review,2002.0,Chris Edmond,Chris Edmond,ped23
761,American Economic Review,2002.0,Francesco Caselli,Francesco Caselli,pca205
763,American Economic Review,2002.0,Jeremy Greenwood,Jeremy Greenwood,pgr12
