idd,journal,year,author,name,Short-Id
2420,American Economic Review,2018.0,andrew c. shaver,,
2421,American Economic Review,2009.0,andrew charlton,,
2426,American Economic Review,2015.0,andrew goodman-bacon,,
2427,Journal of Political Economy,2018.0,andrew goodman-bacon,,
2429,The Quarterly Journal of Economics,2018.0,andrew j fieldhouse,,
2431,Review of Economic Studies,2000.0,andrew k. g. hildreth,,
2441,Econometrica,2012.0,andrew v. carter,,
2442,Econometrica,2001.0,"andrews, donald w k",,
2443,Review of Economic Studies,2019.0,andrey malenko,,
2444,American Economic Review,2011.0,andrey malenko,,
2445,American Economic Review,2016.0,andrey malenko,,
2446,American Economic Review,2019.0,andrey malenko,,
2447,American Economic Review,2017.0,andré kurmann,,
2448,The Quarterly Journal of Economics,2016.0,andré veiga,,
2449,Econometrica,2013.0,andrés carvajal,,
2450,Econometrica,2012.0,andrés carvajal,,
2451,Review of Economic Studies,2016.0,andrés erosa,,
2452,Review of Economic Studies,2010.0,andrés erosa,,
2453,American Economic Review,2018.0,andrés rodríguez-clare,,
2454,Review of Economic Studies,2019.0,andrés rodríguez-clare,,
2455,The Quarterly Journal of Economics,2013.0,andrés rodríguez-clare,,
2456,American Economic Review,2016.0,andrés rodríguez-clare,,
2457,American Economic Review,2007.0,andrés rodríguez-clare,,
2458,Journal of Political Economy,2013.0,andrés rodríguez-clare,,
2459,American Economic Review,2004.0,andrés velasco,,
2460,Review of Economic Studies,2019.0,andrés zahler,,
2461,Review of Economic Studies,2009.0,aner sela,,
2462,American Economic Review,2001.0,aner sela,,
2463,Journal of Political Economy,2007.0,aner sela,,
2464,Review of Economic Studies,2000.0,angel serrat,,
2465,Econometrica,2001.0,angel serrat,,
2466,American Economic Review,2001.0,angela a. hung,,
2467,Econometrica,2019.0,ani guerdjikova,,
2472,Journal of Political Economy,2000.0,anjini kochar,,
2473,The Quarterly Journal of Economics,2018.0,anke becker,,
2474,The Quarterly Journal of Economics,2017.0,anmol bhandari,,
2475,The Quarterly Journal of Economics,2007.0,ann bartel,,
2480,Econometrica,2016.0,anna mikusheva,,
2481,Econometrica,2016.0,anna mikusheva,,
2482,Econometrica,2007.0,anna mikusheva,,
2483,American Economic Review,2014.0,anna salomons,,
2484,Journal of Political Economy,2016.0,anne brockmeyer,,
2485,Journal of Political Economy,2015.0,anne brockmeyer,,
2486,Journal of Political Economy,2015.0,anne p. villamil,,
2487,Econometrica,2000.0,anne p. villamil,,
2488,Econometrica,2003.0,anne p. villamil,,
2489,American Economic Review,2019.0,annette alstadsæter,,
2490,American Economic Review,2002.0,annette vissing-jørgensen,,
2491,American Economic Review,2019.0,annie liang,,
2492,American Economic Review,2003.0,annika sundén,,
2493,Journal of Political Economy,2008.0,anonymous,,
2494,Journal of Political Economy,2007.0,anonymous,,
2495,Journal of Political Economy,2008.0,anonymous,,
2496,Journal of Political Economy,2010.0,anonymous,,
2497,Journal of Political Economy,2009.0,anonymous,,
2498,Journal of Political Economy,2009.0,anonymous,,
2499,Journal of Political Economy,2008.0,anonymous,,
2500,Journal of Political Economy,2008.0,anonymous,,
2501,Econometrica,2018.0,anovia yifan dai,,
2503,Econometrica,2003.0,"anthony a. smith, jr.",,
2504,American Economic Review,2012.0,anthony c. fisher,,
2505,American Economic Review,2005.0,anthony c. fisher,,
2506,American Economic Review,2011.0,anthony m. kwasnica,,
2507,Review of Economic Studies,2008.0,antje brunner,,
2508,Journal of Political Economy,2016.0,antoine dechezleprêtre,,
2509,American Economic Review,2005.0,antoine faure- grimaud,,
2510,Review of Economic Studies,2009.0,antoine faure-grimaud,,
2511,Review of Economic Studies,2003.0,antoine faure-grimaud,,
2512,Review of Economic Studies,2002.0,antoine faure-grimaud,,
2513,Review of Economic Studies,2010.0,antoine faure-grimaud,,
2514,Econometrica,2017.0,anton kolotilin,,
2515,Review of Economic Studies,2018.0,anton kolotilin,,
2516,American Economic Review,2002.0,antoni bosch-domènech,,
2517,Review of Economic Studies,2008.0,antoni calvó-armengol,,
2518,Review of Economic Studies,2009.0,antoni calvó-armengol,,
2519,Econometrica,2006.0,antoni calvó-armengol,,
2520,American Economic Review,2004.0,antoni calvó-armengol,,
2521,Review of Economic Studies,2008.0,antoni calvó-armengol,,
2522,The Quarterly Journal of Economics,2008.0,antoni estevadeordal,,
2523,American Economic Review,2002.0,antoni estevadeordal,,
2524,The Quarterly Journal of Economics,2003.0,antoni estevadeordal,,
2525,Journal of Political Economy,2013.0,antonin macé,,
2526,Journal of Political Economy,2000.0,antonio e. bernardo,,
2527,The Quarterly Journal of Economics,2004.0,antonio e. bernardo,,
2528,Econometrica,2019.0,antonio f. galvao,,
2529,The Quarterly Journal of Economics,2003.0,antonio fatás,,
2531,Econometrica,2002.0,antoon van den elzen,,
2532,The Quarterly Journal of Economics,2017.0,anuj k. shah,,
2541,Journal of Political Economy,2010.0,ariel tomã¡s burstein,,
2542,American Economic Review,2006.0,arijit mukherji,,
2543,American Economic Review,2016.0,arjun venkatesh,,
2544,Review of Economic Studies,2017.0,arnaud cheron,,
2545,Econometrica,2018.0,arnt o. hopland,,
2546,American Economic Review,2014.0,arpit gupta,,
2547,American Economic Review,2012.0,art fraas,,
2548,Journal of Political Economy,2000.0,arthur a. small,,
2549,American Economic Review,2015.0,arthur a. van benthem,,
2563,American Economic Review,2005.0,arvind krishnamurthy,,
2564,American Economic Review,2019.0,arvind krishnamurthy,,
2565,Journal of Political Economy,2012.0,arvind krishnamurthy,,
2566,Review of Economic Studies,2012.0,arvind krishnamurthy,,
2567,American Economic Review,2013.0,arvind krishnamurthy,,
2568,Review of Economic Studies,2004.0,arvind krishnamurthy,,
2571,Journal of Political Economy,2019.0,asaf bernstein,,
2572,Econometrica,2015.0,asen kochov,,
2573,Econometrica,2017.0,asen kochov,,
2574,American Economic Review,2016.0,ashley swanson,,
2576,Econometrica,2018.0,asli selim,,
2577,American Economic Review,2007.0,astri drange hole,,
2578,American Economic Review,2017.0,astrid würtz rasmussen,,
2579,American Economic Review,2015.0,asuman ozdaglar,,
2580,Review of Economic Studies,2011.0,asuman ozdaglar,,
2581,Econometrica,2012.0,asuman ozdaglar,,
2582,American Economic Review,2017.0,asuman ozdaglar,,
2583,Econometrica,2001.0,"athey, susan",,
2584,The Quarterly Journal of Economics,2011.0,atila abdulkadiro&gbreve,,
2585,American Economic Review,2009.0,atila abdulkadiroglu,,
2586,American Economic Review,2003.0,atila abdulkadiroglu,,
2587,The Quarterly Journal of Economics,2006.0,attila ambrus,,
2588,Journal of Political Economy,2008.0,attila ambrus,,
2589,American Economic Review,2012.0,attila ambrus,,
2590,American Economic Review,2014.0,attila ambrus,,
2591,Econometrica,2013.0,attila ambrus,,
2592,The Quarterly Journal of Economics,2010.0,attila ambrus,,
2593,The Quarterly Journal of Economics,2019.0,attila lindner,,
2594,American Economic Review,2019.0,attila lindner,,
2595,The Quarterly Journal of Economics,2017.0,attila lindner,,
2596,Econometrica,2018.0,aurélien baillon,,
2597,American Economic Review,2018.0,austin l. wright,,
2598,American Economic Review,2013.0,avery m. guest,,
2599,American Economic Review,2008.0,avi simhon,,
2600,Econometrica,2006.0,aviad heifetz,,
2602,American Economic Review,2003.0,avinash dixit,,
2603,Journal of Political Economy,2000.0,avinash dixit,,
2604,Journal of Political Economy,2003.0,avinash dixit,,
2605,American Economic Review,2009.0,avinash dixit,,
2606,Econometrica,2003.0,avinash dixit,,
2607,American Economic Review,2003.0,avinash dixit,,
2608,Econometrica,2010.0,avinatan hassidim,,
2609,American Economic Review,2000.0,avner shaked,,
2613,American Economic Review,2014.0,ay?egül ?ahin,,
2614,American Economic Review,2012.0,ayala arad,,
2615,Review of Economic Studies,2018.0,ayça kaya,,
2618,American Economic Review,2003.0,b. d. mccullough,,
2619,American Economic Review,2004.0,b. d. mccullough,,
2620,American Economic Review,2004.0,b. d. mccullough,,
2621,American Economic Review,2018.0,b. pablo montagnes,,
2622,Journal of Political Economy,2010.0,b. piedad urdinola,,
2623,Econometrica,2000.0,b. ravikumar,,
2624,American Economic Review,2013.0,bal?zs szentes,,
2625,American Economic Review,2008.0,balazs szentes,,
2626,The Quarterly Journal of Economics,2017.0,balázs reizer,,
2627,American Economic Review,2017.0,balázs szentes,,
2628,Journal of Political Economy,2013.0,balázs szentes,,
2629,Review of Economic Studies,2015.0,balázs szentes,,
2630,American Economic Review,2014.0,balázs szentes,,
2631,Econometrica,2012.0,balázs szentes,,
2632,Journal of Political Economy,2007.0,balã¡zs szentes,,
2633,Review of Economic Studies,2017.0,bar ifrach,,
2635,Journal of Political Economy,2013.0,bart smeulders,,
2636,American Economic Review,2004.0,bartholomew j. moore,,
2647,Econometrica,2001.0,"battalio, raymond",,
2648,American Economic Review,2002.0,beatrice weder,,
2649,American Economic Review,2011.0,bee yan aw,,
2650,American Economic Review,2018.0,bei qin,,
2651,American Economic Review,2019.0,ben charoenwong,,
2652,Journal of Political Economy,2019.0,ben gillen,,
2653,Econometrica,2015.0,ben handel,,
2654,American Economic Review,2018.0,ben m. sand,,
2656,Journal of Political Economy,2020.0,ben mermelstein,,
2657,Econometrica,2000.0,ben polak,,
2658,Econometrica,2010.0,ben polak,,
2659,The Quarterly Journal of Economics,2019.0,benedetta lerva,,
2660,American Economic Review,2008.0,benedikt herrmann,,
2661,The Quarterly Journal of Economics,2010.0,benedikt herrmann,,
2662,American Economic Review,2010.0,benedikt herrmann,,
2663,Econometrica,2002.0,benedikt m. poetscher,,
2664,American Economic Review,2017.0,bengt holmström,,
2665,American Economic Review,2017.0,bengt holmström,,
2679,The Quarterly Journal of Economics,2019.0,benjamin b lockwood,,
2680,Journal of Political Economy,2017.0,benjamin b. lockwood,,
2684,American Economic Review,2007.0,benjamin edelman,,
2685,The Quarterly Journal of Economics,2015.0,benjamin edelman,,
2686,Journal of Political Economy,2018.0,benjamin faber,,
2687,American Economic Review,2019.0,benjamin faber,,
2688,Review of Economic Studies,2014.0,benjamin faber,,
2689,American Economic Review,2017.0,benjamin hébert,,
2690,Review of Economic Studies,2018.0,benjamin hébert,,
2691,Journal of Political Economy,2017.0,benjamin j. gillen,,
2695,American Economic Review,2015.0,benjamin n. roin,,
2696,American Economic Review,2013.0,benjamin r. handel,,
2697,The Quarterly Journal of Economics,2017.0,benjamin r. handel,,
2699,American Economic Review,2019.0,benjamin schoefer,,
2700,Econometrica,2008.0,benjamin van roy,,
2701,The Quarterly Journal of Economics,2013.0,benn eifert,,
2702,Review of Economic Studies,2019.0,benoît schmutz,,
2703,Journal of Political Economy,2002.0,bent e. serensen,,
2704,American Economic Review,2003.0,bent e. sørensen,,
2705,American Economic Review,2003.0,bentley w. macleod,,
2706,Econometrica,2001.0,"bergin, james",,
2707,The Quarterly Journal of Economics,2011.0,berk özler,,
2708,Econometrica,2001.0,"berliant, marcus",,
2709,The Quarterly Journal of Economics,2002.0,bernard caillaud,,
2710,American Economic Review,2007.0,bernard caillaud,,
2711,American Economic Review,2017.0,bernard salanié,,
2712,Econometrica,2018.0,bernard salanié,,
2713,Econometrica,2009.0,bernard sinclair-desgagné,,
2714,Review of Economic Studies,2003.0,bernardino adão,,
2715,Review of Economic Studies,2010.0,bernardo s. blum,,
2716,American Economic Review,2016.0,bernardo s. blum,,
2717,Review of Economic Studies,2011.0,bernardo s. da silveira,,
2718,Econometrica,2017.0,bernardo s. silveira,,
2719,Econometrica,2000.0,bernhard rauch,,
2722,The Quarterly Journal of Economics,2004.0,bertrand rime,,
2723,Econometrica,2001.0,"bester, helmut",,
2724,Journal of Political Economy,2002.0,bhagwan chowdhry,,
2725,American Economic Review,2005.0,bhagwan chowdhry,,
2728,Econometrica,2008.0,bilge y&inodot,,
2729,American Economic Review,2002.0,bilge yilmaz,,
2730,Journal of Political Economy,2003.0,bilge yilmaz,,
2731,Review of Economic Studies,2011.0,bilge yilmaz,,
2732,The Quarterly Journal of Economics,2012.0,bill wright,,
2734,American Economic Review,2015.0,bin miao,,
2735,Econometrica,2017.0,bin miao,,
2736,Econometrica,2009.0,birgit heydenreich,,
2737,American Economic Review,2012.0,bjorn bartling,,
2738,American Economic Review,2001.0,bjorn r. gudmundsson,,
2739,The Quarterly Journal of Economics,2015.0,björn bartling,,
2740,Econometrica,2014.0,björn bartling,,
2741,Review of Economic Studies,2012.0,björn bartling,,
2742,Review of Economic Studies,2019.0,björn brügemann,,
2743,Econometrica,2014.0,björn tyrefors hinnerich,,
2744,The Quarterly Journal of Economics,2016.0,björn wallace,,
2745,The Quarterly Journal of Economics,2009.0,björn wallace,,
2746,The Quarterly Journal of Economics,2013.0,björn öckert,,
2747,Review of Economic Studies,2010.0,bo e. honor,,
2748,Econometrica,2002.0,bo e. honore,,
2749,Econometrica,2017.0,bo e. honoré,,
2750,Econometrica,2006.0,bo e. honoré,,
2751,Econometrica,2006.0,bo e. honoré,,
2752,Econometrica,2000.0,bo e. honoré,,
2753,American Economic Review,2004.0,bogaçhan çelen,,
2754,The Quarterly Journal of Economics,2017.0,boris vallée,,
2755,The Quarterly Journal of Economics,2013.0,botond koszegi,,
2756,American Economic Review,2007.0,botond koszegi,,
2757,American Economic Review,2009.0,botond koszegi,,
2758,American Economic Review,2010.0,botond koszegi,,
2760,American Economic Review,2019.0,bradley setzler,,
2761,Journal of Political Economy,2018.0,bradley t. shapiro,,
2762,Review of Economic Studies,2015.0,bradyn breon-drish,,
2763,Journal of Political Economy,2006.0,branko uro,,
2764,American Economic Review,2017.0,brendan daley,,
2765,Econometrica,2012.0,brendan daley,,
2767,American Economic Review,2015.0,brendan lucier,,
2768,Journal of Political Economy,2001.0,brendan o'flaherty,,
2771,American Economic Review,2017.0,brett green,,
2772,American Economic Review,2016.0,brett green,,
2773,Econometrica,2012.0,brett green,,
2774,American Economic Review,2019.0,brett green,,
2775,American Economic Review,2003.0,brett j. noel,,
2776,Econometrica,2006.0,brian a jacob,,
2789,American Economic Review,2014.0,brian blackburn,,
2790,American Economic Review,2010.0,brian d. kelly,,
2793,The Quarterly Journal of Economics,2003.0,brian frantz,,
2794,American Economic Review,2013.0,brian k. kovak,,
2795,American Economic Review,2017.0,brian k. kovak,,
2802,American Economic Review,2002.0,brian l. goff,,
2804,American Economic Review,2018.0,brian mcmanus,,
2805,Review of Economic Studies,2012.0,brian mcmanus,,
2806,The Quarterly Journal of Economics,2012.0,brian merlob,,
2807,American Economic Review,2005.0,brian sack,,
2808,The Quarterly Journal of Economics,2003.0,brian sack,,
2811,Review of Economic Studies,2018.0,briana chang,,
2812,The Quarterly Journal of Economics,2001.0,brooks pierce,,
2813,Econometrica,2001.0,"broseta, bruno",,
2815,American Economic Review,2005.0,bruce hay,,
2819,Review of Economic Studies,2004.0,bruce shearer,,
2820,American Economic Review,2001.0,bruce w. hamilton,,
2829,American Economic Review,2016.0,bruno caprettini,,
2830,The Quarterly Journal of Economics,2013.0,bruno crépon,,
2831,Journal of Political Economy,2008.0,bruno l. s. falcã£o,,
2839,The Quarterly Journal of Economics,2018.0,bryan kelly,,
2840,American Economic Review,2016.0,bryan kelly,,
2841,Econometrica,2002.0,buhong zheng,,
2842,Econometrica,2001.0,"burdzy, krzysztof",,
2843,American Economic Review,2006.0,burhanettin kuruscu,,
2844,Review of Economic Studies,2014.0,burhanettin kuruscu,,
2845,American Economic Review,2011.0,byron f. lutz,,
2846,Journal of Political Economy,2012.0,bård harstad,,
2847,Journal of Political Economy,2016.0,bård harstad,,
2848,Review of Economic Studies,2017.0,bård harstad,,
2849,American Economic Review,2007.0,bård harstad,,
2850,The Quarterly Journal of Economics,2015.0,bård harstad,,
2851,The Quarterly Journal of Economics,2005.0,bård harstad,,
2852,Review of Economic Studies,2017.0,bård harstad,,
2853,Review of Economic Studies,2018.0,c de chaisemartin,,
2854,The Quarterly Journal of Economics,2009.0,c. fritz foley,,
2855,Journal of Political Economy,2015.0,c. fritz foley,,
2856,The Quarterly Journal of Economics,2006.0,c. fritz foley,,
2857,Econometrica,2011.0,c. gourieroux,,
2858,Econometrica,2007.0,c. lanier benkard,,
2859,Review of Economic Studies,2004.0,c. lanier benkard,,
2860,Econometrica,2008.0,c. lanier benkard,,
2861,Journal of Political Economy,2005.0,c. lanier benkard,,
2862,American Economic Review,2000.0,c. lanier benkard,,
2863,Econometrica,2006.0,c. lanier benkard,,
2864,Review of Economic Studies,2011.0,c. martinelli,,
2865,Econometrica,2008.0,c. meghir,,
2866,American Economic Review,2005.0,c. nicholas mckinney,,
2867,Journal of Political Economy,2003.0,"cabreales, antonio",,
2868,Journal of Political Economy,2003.0,"calvo-armengol, antoni",,
2869,Journal of Political Economy,2016.0,camille hémet,,
2870,American Economic Review,2015.0,camilo garcía-jimeno,,
2871,American Economic Review,2007.0,canice prendergast,,
2872,Journal of Political Economy,2003.0,canice prendergast,,
2873,Journal of Political Economy,2002.0,canice prendergast,,
2874,Journal of Political Economy,2017.0,canice prendergast,,
2875,Journal of Political Economy,2008.0,caralee mcliesh,,
2876,Econometrica,2001.0,"card, david",,
2877,Journal of Political Economy,2005.0,carl wennerlind,,
2878,The Quarterly Journal of Economics,2018.0,carlo schwarz,,
2880,Review of Economic Studies,2008.0,carlos a. végh,,
2882,Econometrica,2003.0,carlos rodrìguez-palmero,,
2883,Review of Economic Studies,2001.0,carmela quintos,,
2888,American Economic Review,2013.0,carmen tanner,,
2891,Econometrica,2015.0,carolina caetano,,
2898,American Economic Review,2019.0,carsten jentsch,,
2908,American Economic Review,2007.0,catherine d. wolfram,,
2909,American Economic Review,2016.0,catherine d. wolfram,,
2912,Review of Economic Studies,2006.0,catherine hafer,,
2913,American Economic Review,2012.0,catherine thomas,,
2914,Review of Economic Studies,2016.0,catherine thomas,,
2915,The Quarterly Journal of Economics,2018.0,catherine wolfram,,
2917,American Economic Review,2019.0,cecile gaubert,,
2918,American Economic Review,2018.0,cecile gaubert,,
2919,American Economic Review,2008.0,celeste saravia,,
2920,American Economic Review,2017.0,cesi cruz,,
2921,American Economic Review,2017.0,chamna yoon,,
2922,American Economic Review,2003.0,chang-tai hsieh,,
2923,The Quarterly Journal of Economics,2014.0,chang-tai hsieh,,
2924,American Economic Review,2005.0,chang-tai hsieh,,
2925,American Economic Review,2011.0,chang-tai hsieh,,
2926,American Economic Review,2002.0,chang-tai hsieh,,
2927,Journal of Political Economy,2003.0,chang-tai hsieh,,
2928,American Economic Review,2007.0,chang-tai hsieh,,
2929,The Quarterly Journal of Economics,2006.0,chang-tai hsieh,,
2930,The Quarterly Journal of Economics,2009.0,chang-tai hsieh,,
2931,Review of Economic Studies,2015.0,chao fu,,
2932,Journal of Political Economy,2014.0,chao fu,,
2933,Review of Economic Studies,2018.0,chao fu,,
2934,Econometrica,2007.0,charalambos d aliprantis,,
2953,Journal of Political Economy,2017.0,charles g. nathanson,,
2954,The Quarterly Journal of Economics,2011.0,charles j. redlick,,
2955,Journal of Political Economy,2019.0,charles m. hokayem,,
2956,American Economic Review,2003.0,charles morcom,,
2957,American Economic Review,2000.0,charles morcom,,
2965,The Quarterly Journal of Economics,2001.0,charles r. pierret,,
2978,Journal of Political Economy,2001.0,charles vanasse,,
2980,Econometrica,2002.0,charles zhoucheng zheng,,
2981,Econometrica,2014.0,chemi gotlibovski,,
2982,American Economic Review,2018.0,chen lian,,
2983,American Economic Review,2007.0,chen-ying huang,,
2984,American Economic Review,2007.0,cheng-tao tang,,
2985,American Economic Review,2011.0,chenghuan sean chu,,
2986,American Economic Review,2019.0,chenghuan sean chu,,
2987,Journal of Political Economy,2018.0,chenyu yang,,
2988,Econometrica,2006.0,chew soo hong,,
2989,Journal of Political Economy,2018.0,chiara farronato,,
2990,Econometrica,2001.0,"chib, siddhartha",,
2991,American Economic Review,2003.0,chol-won li,,
2992,American Economic Review,2012.0,chris forman,,
2995,American Economic Review,2016.0,chris kabrhel,,
2998,American Economic Review,2008.0,christian broda,,
2999,American Economic Review,2010.0,christian broda,,
3000,The Quarterly Journal of Economics,2006.0,christian broda,,
3001,Econometrica,2014.0,christian dippel,,
