,journal,year,author,name,Short-Id
307,American Economic Review,2001.0,Boyan Jovanovic,Boyan Jovanovic,pjo20
309,American Economic Review,2001.0,Robert E. Cumby,Robert E. Cumby,pcu115
310,American Economic Review,2001.0,Behzad T. Diba,Behzad T. Diba,pdi273
311,American Economic Review,2001.0,Ernst Fehr,Ernst Fehr,pfe29
312,American Economic Review,2001.0,Jean-Robert Tyran,Jean-Robert Tyran,pty1
315,American Economic Review,2001.0,Vincenzo Quadrini,Vincenzo Quadrini,pqu2
319,American Economic Review,2001.0,E. Woodrow Eckard,E. Woodrow Eckard,pec38
321,American Economic Review,2001.0,Peter Thompson,Peter Thompson,pth1
322,American Economic Review,2001.0,Daron Acemoglu,Daron Acemoglu,pac16
323,American Economic Review,2001.0,Simon Johnson,Simon Johnson,pjo44
326,American Economic Review,2001.0,Charles A. Holt,Charles A. Holt,pho200
327,American Economic Review,2001.0,Donald R. Davis,Donald R. Davis,pda33
329,American Economic Review,2001.0,Gilles Duranton,Gilles Duranton,pdu48
330,American Economic Review,2001.0,Diego Puga,Diego Puga,ppu2
331,American Economic Review,2001.0,Hao Li,Hao Li,pli8
332,American Economic Review,2001.0,Sherwin Rosen,Sherwin Rosen,pro58
333,American Economic Review,2001.0,Wing Suen,Wing Suen,psu33
338,American Economic Review,2001.0,John Wooders,John Wooders,pwo21
342,American Economic Review,2001.0,Cary A. Deck,Cary A. Deck,pde234
343,American Economic Review,2001.0,John Bennett,John Bennett,pbe102
347,American Economic Review,2001.0,Gylfi Zoega,Gylfi Zoega,pzo41
348,American Economic Review,2001.0,Josh Ederington,Josh Ederington,ped37
349,American Economic Review,2001.0,Tore Ellingsen,Tore Ellingsen,pel76
350,American Economic Review,2001.0,Ulf Soderstrom,Ulf Soderstrom,pso33
351,American Economic Review,2001.0,Leif Danziger,Leif Danziger,pda5
352,American Economic Review,2001.0,Richard C. K. Burdekin,Richard C. K. Burdekin,pbu17
354,American Economic Review,2002.0,Sherwin Rosen,Sherwin Rosen,pro58
358,American Economic Review,2002.0,Dan Black,Dan Black,pbl23
361,American Economic Review,2002.0,Paul Gertler,Paul Gertler,pge194
362,American Economic Review,2002.0,Jonathan Gruber,Jonathan Gruber,pgr20
364,American Economic Review,2002.0,Werner Antweiler,Werner Antweiler,pan25
365,American Economic Review,2002.0,Daniel Trefler,Daniel Trefler,ptr44
366,American Economic Review,2002.0,Wolfgang Keller,Wolfgang Keller,pke8
371,American Economic Review,2002.0,Lutz Hendricks,Lutz Hendricks,phe2
372,American Economic Review,2002.0,Charles I. Jones,Charles I. Jones,pjo24
374,American Economic Review,2002.0,Enrico Perotti,Enrico Perotti,ppe58
376,American Economic Review,2002.0,David W. Harless,David W. Harless,pha290
378,American Economic Review,2002.0,Thomas Buchmueller,Thomas Buchmueller,pbu179
380,American Economic Review,2002.0,Darius Lakdawalla,Darius Lakdawalla,pla295
381,American Economic Review,2002.0,Tomas Philipson,Tomas Philipson,pph37
382,American Economic Review,2002.0,Jonah B. Gelbach,Jonah B. Gelbach,pge238
386,American Economic Review,2002.0,Gary Solon,Gary Solon,pso215
390,American Economic Review,2002.0,Christos Kotsogiannis,Christos Kotsogiannis,pko309
393,American Economic Review,2002.0,Charles T. Clotfelter,Charles T. Clotfelter,pcl34
395,American Economic Review,2002.0,Alan M. Taylor,Alan M. Taylor,pta46
397,American Economic Review,2002.0,Daniel Trefler,Daniel Trefler,ptr44
401,American Economic Review,2002.0,George A. Akerlof,George A. Akerlof,pak7
409,American Economic Review,2002.0,Alberto Alesina,Alberto Alesina,pal207
411,American Economic Review,2002.0,Roberto Perotti,Roberto Perotti,ppe66
412,American Economic Review,2002.0,Fabio Schiantarelli,Fabio Schiantarelli,psc8
413,American Economic Review,2002.0,Thomas J. Kniesner,Thomas J. Kniesner,pkn21
414,American Economic Review,2002.0,James P. Ziliak,James P. Ziliak,pzi120
415,American Economic Review,2002.0,Roger Hartley,Roger Hartley,pha145
416,American Economic Review,2002.0,Lisa Farrell,Lisa Farrell,pfa186
417,American Economic Review,2002.0,Theo Offerman,Theo Offerman,pof6
419,American Economic Review,2002.0,Michael W. Klein,Michael W. Klein,pkl9
420,American Economic Review,2002.0,Joe Peek,Joe Peek,ppe90
422,American Economic Review,2002.0,Paul Oyer,Paul Oyer,poy2
425,American Economic Review,2002.0,Erik Hurst,Erik Hurst,phu87
431,American Economic Review,2002.0,Tracy R. Lewis,Tracy R. Lewis,ple417
433,American Economic Review,2002.0,Pierpaolo Battigalli,Pierpaolo Battigalli,pba80
434,American Economic Review,2002.0,Giovanni Maggi,Giovanni Maggi,pma1315
435,American Economic Review,2002.0,Dilip Mookherjee,Dilip Mookherjee,pmo51
436,American Economic Review,2002.0,Debraj Ray,Debraj Ray,pra6
438,American Economic Review,2002.0,James B. Rebitzer,James B. Rebitzer,pre77
441,American Economic Review,2002.0,Donald P. Morgan,Donald P. Morgan,pmo418
443,American Economic Review,2002.0,L. Alan Winters,L. Alan Winters,pwi238
446,American Economic Review,2002.0,Henrik Jensen,Henrik Jensen,pje99
447,American Economic Review,2002.0,Orley Ashenfelter,Orley Ashenfelter,pas9
449,American Economic Review,2002.0,Kai A. Konrad,Kai A. Konrad,pko51
451,American Economic Review,2002.0,Kjell Erik Lommerud,Kjell Erik Lommerud,plo20
452,American Economic Review,2002.0,Julio R. Robledo,Julio R. Robledo,pro111
454,American Economic Review,2002.0,Duncan Thomas,Duncan Thomas,pth20
455,American Economic Review,2002.0,Janet Currie,Janet Currie,pcu13
456,American Economic Review,2002.0,Arturo Estrella,Arturo Estrella,pes29
457,American Economic Review,2002.0,Jeffrey C. Fuhrer,Jeffrey C. Fuhrer,pfu8
458,American Economic Review,2002.0,Francis Bloch,Francis Bloch,pbl45
459,American Economic Review,2002.0,Vijayendra Rao,Vijayendra Rao,pra65
460,American Economic Review,2002.0,Bruce A. Blonigen,Bruce A. Blonigen,pbl165
462,American Economic Review,2002.0,Daniel Houser,Daniel Houser,pho27
464,American Economic Review,2002.0,John Duggan,John Duggan,pdu172
465,American Economic Review,2002.0,Joanne Roberts,Joanne Roberts,pro29
466,American Economic Review,2002.0,Joanne Roberts,Joanne Roberts,pro596
468,American Economic Review,2002.0,Dean Lueck,Dean Lueck,plu157
470,American Economic Review,2002.0,Axel Ockenfels,Axel Ockenfels,poc7
471,American Economic Review,2002.0,Simon Grant,Simon Grant,pgr34
472,American Economic Review,2002.0,John Quiggin,John Quiggin,pqu8
475,American Economic Review,2002.0,Alberto Alesina,Alberto Alesina,pal207
478,American Economic Review,2002.0,Hilary Sigman,Hilary Sigman,psi55
480,American Economic Review,2002.0,Bruno Cassiman,Bruno Cassiman,pca680
482,American Economic Review,2002.0,Saku Aura,Saku Aura,pau7
485,American Economic Review,2002.0,Mark Gradstein,Mark Gradstein,pgr39
486,American Economic Review,2002.0,Moshe Justman,Moshe Justman,pju100
488,American Economic Review,2002.0,Edward C. Prescott,Edward C. Prescott,ppr10
489,American Economic Review,2002.0,Todd L. Cherry,Todd L. Cherry,pch432
502,American Economic Review,2002.0,Donald R. Davis,Donald R. Davis,pda33
504,American Economic Review,2002.0,Jan Eeckhout,Jan Eeckhout,pee1
505,American Economic Review,2002.0,Boyan Jovanovic,Boyan Jovanovic,pjo20
506,American Economic Review,2002.0,Anne Case,Anne Case,pca108
507,American Economic Review,2002.0,Darren Lubotsky,Darren Lubotsky,plu41
508,American Economic Review,2002.0,Christina Paxson,Christina Paxson,ppa335
509,American Economic Review,2002.0,Simon Johnson,Simon Johnson,pjo44
511,American Economic Review,2002.0,Christopher Woodruff,Christopher Woodruff,pwo165
512,American Economic Review,2002.0,Jan K. Brueckner,Jan K. Brueckner,pbr241
513,American Economic Review,2002.0,Severin Borenstein,Severin Borenstein,pbo78
519,American Economic Review,2002.0,Scott Rozelle,Scott Rozelle,pro707
522,American Economic Review,2002.0,Nicola Persico,Nicola Persico,ppe261
523,American Economic Review,2002.0,Yongsung Chang,Yongsung Chang,pch20
525,American Economic Review,2002.0,Frank Schorfheide,Frank Schorfheide,psc19
526,American Economic Review,2002.0,Stephen Morris,Stephen Morris,pmo35
527,American Economic Review,2002.0,Stephen Morris,Stephen Morris,pmo9
528,American Economic Review,2002.0,Hyun Song Shin,Hyun Song Shin,psh692
529,American Economic Review,2002.0,Joshua Angrist,Joshua Angrist,pan29
536,American Economic Review,2002.0,David Wettstein,David Wettstein,pwe281
540,American Economic Review,2002.0,Mark Duggan,Mark Duggan,pdu194
542,American Economic Review,2002.0,Glenn W. Harrison,Glenn W. Harrison,pha248
548,American Economic Review,2002.0,Charles A. Holt,Charles A. Holt,pho200
549,American Economic Review,2002.0,Susan K. Laury,Susan K. Laury,pla570
550,American Economic Review,2002.0,Jianping Mei,Jianping Mei,pme634
551,American Economic Review,2002.0,Michael Moses,Michael Moses,pmo98
552,American Economic Review,2002.0,Yan Chen,Yan Chen,pch1446
553,American Economic Review,2002.0,Yan Chen,Yan Chen,pch683
557,American Economic Review,2002.0,Rosemarie Nagel,Rosemarie Nagel,pna134
558,American Economic Review,2002.0,Albert Satorra,Albert Satorra,psa929
559,American Economic Review,2002.0,Theo Eicher,Theo Eicher,pei6
560,American Economic Review,2002.0,Thomas Osang,Thomas Osang,pos30
561,American Economic Review,2002.0,Shingo Ishiguro,Shingo Ishiguro,pis96
565,American Economic Review,2003.0,Peter E. Rossi,Peter E. Rossi,pro227
566,American Economic Review,2003.0,Torben G. Andersen,Torben G. Andersen,pan210
567,American Economic Review,2003.0,Tim Bollerslev,Tim Bollerslev,pbo66
569,American Economic Review,2003.0,Clara Vega,Clara Vega,pve43
571,American Economic Review,2003.0,Romain Wacziarg,Romain Wacziarg,pwa67
572,American Economic Review,2003.0,John Hassler,John Hassler,pha2
574,American Economic Review,2003.0,Kjetil Storesletten,Kjetil Storesletten,pst4
576,American Economic Review,2003.0,Alberto Abadie,Alberto Abadie,pab7
577,American Economic Review,2003.0,Javier Gardeazabal,Javier Gardeazabal,pga128
578,American Economic Review,2003.0,Vincent P. Crawford,Vincent P. Crawford,pcr2
584,American Economic Review,2003.0,Pierluigi Balduzzi,Pierluigi Balduzzi,pba469
587,American Economic Review,2003.0,Nicolas Marceau,Nicolas Marceau,pma5
588,American Economic Review,2003.0,Michael Smart,Michael Smart,psm6
589,American Economic Review,2003.0,John Komlos,John Komlos,pko37
590,American Economic Review,2003.0,Sanjay Jain,Sanjay Jain,pja226
592,American Economic Review,2003.0,Carl Walsh,Carl Walsh,pwa23
594,American Economic Review,2003.0,Victor A. Ginsburgh,Victor A. Ginsburgh,pgi102
596,American Economic Review,2003.0,Eugenio J. Miravete,Eugenio J. Miravete,pmi538
597,American Economic Review,2003.0,Chao Wei,Chao Wei,pwe82
601,American Economic Review,2003.0,Christopher M. Meissner,Christopher M. Meissner,pme45
602,American Economic Review,2003.0,B. Douglas Bernheim,B. Douglas Bernheim,pbe81
603,American Economic Review,2003.0,Lorenzo Forni,Lorenzo Forni,pfo73
607,American Economic Review,2003.0,Charles Noussair,Charles Noussair,pno50
610,American Economic Review,2003.0,Matthew D. Shapiro,Matthew D. Shapiro,psh144
611,American Economic Review,2003.0,Joel Slemrod,Joel Slemrod,psl10
614,American Economic Review,2003.0,Bill Dupor,Bill Dupor,pdu275
615,American Economic Review,2003.0,Wen-Fang Liu,Wen-Fang Liu,pli56
619,American Economic Review,2003.0,Andre Portela Souza,Andre Portela Souza,pso97
629,American Economic Review,2003.0,Patrick Francois,Patrick Francois,pfr24
630,American Economic Review,2003.0,Huw Lloyd-Ellis,Huw Lloyd-Ellis,pll1
633,American Economic Review,2003.0,Paul Beaudry,Paul Beaudry,pbe35
634,American Economic Review,2003.0,David A. Green,David A. Green,pgr285
635,American Economic Review,2003.0,Christophe Chamley,Christophe Chamley,pch389
637,American Economic Review,2003.0,Volker Wieland,Volker Wieland,pwi9
638,American Economic Review,2003.0,John C. Williams,John C. Williams,pwi23
639,American Economic Review,2003.0,Yeon-Koo Che,Yeon-Koo Che,pch91
640,American Economic Review,2003.0,Ian Gale,Ian Gale,pga548
641,American Economic Review,2003.0,James Andreoni,James Andreoni,pan31
642,American Economic Review,2003.0,Marco Castillo,Marco Castillo,pca1237
643,American Economic Review,2003.0,Ragan Petrie,Ragan Petrie,ppe391
644,American Economic Review,2003.0,Peter K. Schott,Peter K. Schott,psc98
651,American Economic Review,2003.0,James E. Rauch,James E. Rauch,pra166
652,American Economic Review,2003.0,Vitor Trindade,Vitor Trindade,ptr67
653,American Economic Review,2003.0,James Andreoni,James Andreoni,pan31
654,American Economic Review,2003.0,A. Abigail Payne,A. Abigail Payne,ppa10
655,American Economic Review,2003.0,Antonio Rangel,Antonio Rangel,pra69
656,American Economic Review,2003.0,Jonathan Levin,Jonathan Levin,ple318
661,American Economic Review,2003.0,James Andreoni,James Andreoni,pan31
662,American Economic Review,2003.0,William Harbaugh,William Harbaugh,pha88
663,American Economic Review,2003.0,Lise Vesterlund,Lise Vesterlund,pve25
664,American Economic Review,2003.0,Sebnem Kalemli-Ozcan,Sebnem Kalemli-Ozcan,pka37
668,American Economic Review,2003.0,Neng Wang,Neng Wang,pwa390
669,American Economic Review,2003.0,Charles W. Calomiris,Charles W. Calomiris,pca421
671,American Economic Review,2003.0,Ignacio Palacios-Huerta,Ignacio Palacios-Huerta,ppa164
675,American Economic Review,2003.0,Bruce A. Blonigen,Bruce A. Blonigen,pbl165
677,American Economic Review,2003.0,Keith Head,Keith Head,phe156
679,American Economic Review,2003.0,James R. Markusen,James R. Markusen,pma528
680,American Economic Review,2003.0,Keith E. Maskus,Keith E. Maskus,pma232
681,American Economic Review,2003.0,Haim Shalit,Haim Shalit,psh55
682,American Economic Review,2003.0,Shlomo Yitzhaki,Shlomo Yitzhaki,pyi12
691,American Economic Review,2003.0,Matthias Doepke,Matthias Doepke,pdo8
695,American Economic Review,2003.0,Rohini Pande,Rohini Pande,ppa900
699,American Economic Review,2003.0,Federico Sturzenegger,Federico Sturzenegger,pst825
700,American Economic Review,2003.0,Christopher Mayer,Christopher Mayer,pma212
701,American Economic Review,2003.0,Todd Sinai,Todd Sinai,psi354
703,American Economic Review,2003.0,Christopher Otrok,Christopher Otrok,pot2
704,American Economic Review,2003.0,Charles H. Whiteman,Charles H. Whiteman,pwh13
705,American Economic Review,2003.0,John Laitner,John Laitner,pla447
707,American Economic Review,2003.0,Andrew B. Bernard,Andrew B. Bernard,pbe478
708,American Economic Review,2003.0,Jonathan Eaton,Jonathan Eaton,pea5
709,American Economic Review,2003.0,J. Bradford Jensen,J. Bradford Jensen,pje75
711,American Economic Review,2003.0,Carolyn L. Evans,Carolyn L. Evans,pev40
714,American Economic Review,2003.0,Mark C. Berger,Mark C. Berger,pbe826
718,American Economic Review,2003.0,Steinar Holden,Steinar Holden,pho18
721,American Economic Review,2003.0,Maristella Botticini,Maristella Botticini,pbo72
722,American Economic Review,2003.0,Aloysius Siow,Aloysius Siow,psi13
723,American Economic Review,2003.0,Alexander J. Field,Alexander J. Field,pfi27
724,American Economic Review,2003.0,Christopher Hanes,Christopher Hanes,pha665
726,American Economic Review,2003.0,Michael Raith,Michael Raith,pra71
728,American Economic Review,2003.0,Richard D. Horan,Richard D. Horan,pho520
732,American Economic Review,2003.0,Daniel Kahneman,Daniel Kahneman,pka60
733,American Economic Review,2003.0,Albert Marcet,Albert Marcet,pma173
736,American Economic Review,2003.0,Susann Rohwedder,Susann Rohwedder,pro270
738,American Economic Review,2003.0,Luisa Lambertini,Luisa Lambertini,pla95
741,American Economic Review,2003.0,Lars Lefgren,Lars Lefgren,ple392
742,American Economic Review,2003.0,Ariel Pakes,Ariel Pakes,ppa20
743,American Economic Review,2003.0,William A. Brock,William A. Brock,pbr142
744,American Economic Review,2003.0,Anastasios Xepapadeas,Anastasios Xepapadeas,pxe1
745,American Economic Review,2003.0,Charles W. Calomiris,Charles W. Calomiris,pca421
747,American Economic Review,2003.0,Paul W. Rhode,Paul W. Rhode,prh14
749,American Economic Review,2003.0,Jean Tirole,Jean Tirole,pti33
750,American Economic Review,2003.0,Christopher R. Knittel,Christopher R. Knittel,pkn5
751,American Economic Review,2003.0,Victor Stango,Victor Stango,pst264
752,American Economic Review,2003.0,Eliana La Ferrara,Eliana La Ferrara,pla68
753,American Economic Review,2003.0,W. David Bradford,W. David Bradford,pbr330
754,American Economic Review,2003.0,Kenneth Burdett,Kenneth Burdett,pbu202
755,American Economic Review,2003.0,Ricardo Lagos,Ricardo Lagos,pla18
756,American Economic Review,2003.0,Randall Wright,Randall Wright,pwr2
757,American Economic Review,2003.0,Farley Grubb,Farley Grubb,pgr272
758,American Economic Review,2003.0,Dorothe Bonjour,Dorothe Bonjour,pbo753
760,American Economic Review,2003.0,Jonathan E. Haskel,Jonathan E. Haskel,pha161
763,American Economic Review,2003.0,Janet Currie,Janet Currie,pcu13
